iter,D
0,0.555706
1,0.487508
2,0.465838
3,0.549724
4,0.484990
5,0.352492
6,0.578300
7,0.611487
8,0.521196
9,0.626156
10,0.504792
11,0.534793
12,0.677294
13,0.572011
14,0.653624
15,0.564078
16,0.517866
17,0.547055
18,0.482827
19,0.495186
20,0.641896
21,0.506203
22,0.500366
23,0.453349
24,0.462622
25,0.493380
26,0.448292
27,0.718138
28,0.631807
29,0.499455
30,0.333596
31,0.483742
32,0.458666
33,0.474047
34,0.529574
35,0.631911
36,0.542985
37,0.448120
38,0.649583
39,0.725743
40,0.426297
41,0.668223
42,0.634470
43,0.522045
44,0.734924
45,0.598842
46,0.549702
47,0.619870
48,0.457747
49,0.565832
50,0.471931
51,0.660099
52,0.672735
53,0.635956
54,0.514304
55,0.525597
56,0.618267
57,0.542868
58,0.602266
59,0.565822
60,0.566304
61,0.446333
62,0.736084
63,0.574354
64,0.466731
65,0.608991
66,0.603053
67,0.415320
68,0.545677
69,0.671218
70,0.475667
71,0.511409
72,0.542782
73,0.382350
74,0.560509
75,0.628620
76,0.427614
77,0.679319
78,0.567817
79,0.763662
80,0.477537
81,0.544514
82,0.606418
83,0.481303
84,0.817615
85,0.640875
86,0.576064
87,0.474961
88,0.515709
89,0.605827
90,0.527617
91,0.690162
92,0.484770
93,0.566743
94,0.577719
95,0.713206
96,0.430399
97,0.615122
98,0.588680
99,0.521032
100,0.592050
101,0.534812
102,0.610674
103,0.460522
104,0.527893
105,0.559450
106,0.555216
107,0.438307
108,0.450771
109,0.555061
110,0.657494
111,0.476373
112,0.434146
113,0.542204
114,0.595761
115,0.565814
116,0.672903
117,0.739373
118,0.583812
119,0.555813
120,0.511964
121,0.452221
122,0.582953
123,0.750391
124,0.665482
125,0.606200
126,0.528485
127,0.625609
128,0.595071
129,0.711921
130,0.568705
131,0.493508
132,0.515515
133,0.494577
134,0.528693
135,0.516227
136,0.516153
137,0.492429
138,0.436072
139,0.518655
140,0.470974
141,0.616592
142,0.590141
143,0.430340
144,0.670587
145,0.490900
146,0.508914
147,0.486423
148,0.521990
149,0.623007
150,0.615029
151,0.524119
152,0.554286
153,0.683335
154,0.508036
155,0.524080
156,0.546136
157,0.504171
158,0.577413
159,0.500198
160,0.515124
161,0.573795
162,0.536051
163,0.713420
164,0.520220
165,0.593631
166,0.350580
167,0.471294
168,0.636682
169,0.720612
170,0.565355
171,0.481128
172,0.569165
173,0.656381
174,0.510703
175,0.481712
176,0.500098
177,0.593370
178,0.554519
