code,venue,race,hit,n,rate
01,桐生,1,142,1898,7.4816
01,桐生,2,142,1902,7.4658
01,桐生,3,129,1895,6.8074
01,桐生,4,139,1892,7.3467
01,桐生,5,134,1891,7.0862
01,桐生,6,259,1876,13.8060
01,桐生,7,232,1865,12.4397
01,桐生,8,201,1855,10.8356
01,桐生,9,196,1853,10.5774
01,桐生,10,204,1874,10.8858
01,桐生,11,229,1866,12.2722
01,桐生,12,228,1869,12.1990
02,戸田,1,135,1871,7.2154
02,戸田,2,131,1886,6.9459
02,戸田,3,132,1887,6.9952
02,戸田,4,128,1896,6.7511
02,戸田,5,138,1878,7.3482
02,戸田,6,146,1888,7.7331
02,戸田,7,209,1869,11.1825
02,戸田,8,127,1861,6.8243
02,戸田,9,138,1846,7.4756
02,戸田,10,155,1856,8.3513
02,戸田,11,143,1856,7.7047
02,戸田,12,164,1854,8.8457
03,江戸川,1,121,1746,6.9301
03,江戸川,2,114,1726,6.6049
03,江戸川,3,114,1733,6.5782
03,江戸川,4,119,1733,6.8667
03,江戸川,5,117,1715,6.8222
03,江戸川,6,147,1724,8.5267
03,江戸川,7,131,1688,7.7607
03,江戸川,8,145,1679,8.6361
03,江戸川,9,138,1670,8.2635
03,江戸川,10,172,1635,10.5199
03,江戸川,11,164,1645,9.9696
03,江戸川,12,163,1596,10.2130
04,平和島,1,136,1782,7.6319
04,平和島,2,134,1775,7.5493
04,平和島,3,111,1765,6.2890
04,平和島,4,117,1781,6.5693
04,平和島,5,169,1776,9.5158
04,平和島,6,117,1753,6.6743
04,平和島,7,151,1767,8.5456
04,平和島,8,153,1765,8.6686
04,平和島,9,144,1751,8.2239
04,平和島,10,145,1754,8.2668
04,平和島,11,152,1739,8.7407
04,平和島,12,139,1748,7.9519
05,多摩川,1,174,1850,9.4054
05,多摩川,2,147,1826,8.0504
05,多摩川,3,159,1839,8.6460
05,多摩川,4,149,1846,8.0715
05,多摩川,5,148,1833,8.0742
05,多摩川,6,157,1839,8.5372
05,多摩川,7,196,1831,10.7045
05,多摩川,8,185,1825,10.1370
05,多摩川,9,184,1816,10.1322
05,多摩川,10,201,1819,11.0500
05,多摩川,11,220,1823,12.0680
05,多摩川,12,215,1822,11.8002
06,浜名湖,1,179,1953,9.1654
06,浜名湖,2,157,1967,7.9817
06,浜名湖,3,149,1947,7.6528
06,浜名湖,4,223,1945,11.4653
06,浜名湖,5,158,1938,8.1527
06,浜名湖,6,159,1951,8.1497
06,浜名湖,7,207,1952,10.6045
06,浜名湖,8,205,1931,10.6163
06,浜名湖,9,179,1911,9.3668
06,浜名湖,10,195,1934,10.0827
06,浜名湖,11,219,1925,11.3766
06,浜名湖,12,238,1918,12.4088
07,蒲郡,1,177,1900,9.3158
07,蒲郡,2,179,1907,9.3865
07,蒲郡,3,162,1899,8.5308
07,蒲郡,4,148,1893,7.8183
07,蒲郡,5,186,1897,9.8050
07,蒲郡,6,208,1890,11.0053
07,蒲郡,7,254,1889,13.4463
07,蒲郡,8,233,1873,12.4399
07,蒲郡,9,226,1871,12.0791
07,蒲郡,10,230,1884,12.2081
07,蒲郡,11,245,1886,12.9905
07,蒲郡,12,191,1886,10.1273
08,常滑,1,167,1968,8.4858
08,常滑,2,162,1987,8.1530
08,常滑,3,164,1981,8.2786
08,常滑,4,203,1961,10.3519
08,常滑,5,209,1970,10.6091
08,常滑,6,206,1963,10.4941
08,常滑,7,202,1950,10.3590
