code,venue,days,early_hit,early_n,early_rate,late_hit,late_n,late_rate,S,nullSD,minDiff,fill,p
15,丸亀,1957,390,5697,6.8457,666,5635,11.8190,4.9733,0.5846,1.6370,3.038,0.000
09,津,1891,470,5500,8.5455,718,5416,13.2570,4.7116,0.6172,1.7281,2.726,0.000
01,桐生,1940,410,5689,7.2069,661,5609,11.7846,4.5777,0.5725,1.6030,2.856,0.000
19,下関,1835,452,5357,8.4376,693,5331,12.9994,4.5619,0.6029,1.6881,2.702,0.000
08,常滑,2018,529,5929,8.9222,756,5809,13.0143,4.0920,0.5802,1.6244,2.519,0.000
20,若松,1937,398,5641,7.0555,614,5592,10.9800,3.9245,0.5552,1.5546,2.524,0.000
16,児島,1945,433,5677,7.6273,637,5595,11.3852,3.7579,0.5559,1.5565,2.414,0.000
03,江戸川,1805,347,5192,6.6834,499,4876,10.2338,3.5504,0.5530,1.5483,2.293,0.000
13,尼崎,1870,507,5492,9.2316,690,5408,12.7589,3.5273,0.6134,1.7175,2.054,0.000
17,宮島,1991,492,5843,8.4203,683,5740,11.8990,3.4786,0.5713,1.5997,2.174,0.000
12,住之江,1909,515,5570,9.2460,705,5571,12.6548,3.4089,0.6196,1.7349,1.965,0.000
05,多摩川,1882,455,5511,8.2562,636,5464,11.6398,3.3836,0.5864,1.6420,2.061,0.000
24,大村,1966,598,5753,10.3946,782,5676,13.7773,3.3827,0.5989,1.6770,2.017,0.000
07,蒲郡,1947,489,5699,8.5805,666,5656,11.7751,3.1947,0.5580,1.5624,2.045,0.000
11,びわこ,1852,431,5456,7.8996,580,5358,10.8249,2.9254,0.5618,1.5732,1.860,0.000
22,福岡,1904,507,5592,9.0665,658,5522,11.9160,2.8494,0.6054,1.6950,1.681,0.000
06,浜名湖,2011,529,5859,9.0288,652,5777,11.2861,2.2573,0.5753,1.6109,1.401,0.000
04,平和島,1824,362,5321,6.8032,436,5241,8.3190,1.5158,0.5413,1.5157,1.000,0.006
02,戸田,1931,391,5669,6.8972,462,5566,8.3004,1.4032,0.5016,1.4045,0.999,0.004
14,鳴門,1839,515,5405,9.5282,480,5263,9.1203,-0.4079,0.5534,1.5496,-0.263,0.450
18,徳山,1979,828,5840,14.1781,789,5747,13.7289,-0.4492,0.6251,1.7504,-0.257,0.485
23,唐津,1917,700,5623,12.4489,640,5515,11.6047,-0.8442,0.6090,1.7052,-0.495,0.164
10,三国,1899,691,5552,12.4460,571,5500,10.3818,-2.0641,0.6163,1.7256,-1.196,0.000
21,芦屋,1946,756,5721,13.2145,592,5637,10.5020,-2.7124,0.6097,1.7072,-1.589,0.000
