jcd,R,n,man,rate
01,1,1898,360,0.189673
01,2,1902,406,0.21346
01,3,1895,397,0.209499
01,4,1892,434,0.229387
01,5,1891,374,0.197779
01,6,1876,279,0.148721
01,7,1865,299,0.160322
01,8,1855,288,0.155256
01,9,1853,349,0.188343
01,10,1874,348,0.185699
01,11,1866,326,0.174705
01,12,1869,298,0.159444
02,1,1871,380,0.2031
02,2,1886,329,0.174443
02,3,1887,399,0.211447
02,4,1896,403,0.212553
02,5,1878,343,0.182641
02,6,1888,345,0.182733
02,7,1869,315,0.168539
02,8,1861,355,0.190758
02,9,1846,388,0.210184
02,10,1856,394,0.212284
02,11,1856,370,0.199353
02,12,1854,371,0.200108
03,1,1746,340,0.194731
03,2,1726,356,0.206257
03,3,1733,373,0.215234
03,4,1733,353,0.203693
03,5,1715,331,0.193003
03,6,1724,318,0.184455
03,7,1688,285,0.168839
03,8,1679,280,0.166766
03,9,1670,286,0.171257
03,10,1635,300,0.183486
03,11,1645,296,0.179939
03,12,1596,300,0.18797
04,1,1782,348,0.195286
04,2,1775,364,0.20507
04,3,1765,384,0.217564
04,4,1781,398,0.22347
04,5,1776,324,0.182432
04,6,1753,341,0.194524
04,7,1767,353,0.199774
04,8,1765,369,0.209065
04,9,1751,353,0.201599
04,10,1754,375,0.213797
04,11,1739,353,0.20299
04,12,1748,357,0.204233
05,1,1850,284,0.153514
05,2,1826,333,0.182366
05,3,1839,372,0.202284
05,4,1846,341,0.184724
05,5,1833,335,0.182761
05,6,1839,338,0.183796
05,7,1831,358,0.195522
05,8,1825,327,0.179178
05,9,1816,294,0.161894
05,10,1819,330,0.181418
05,11,1823,295,0.161821
05,12,1822,304,0.16685
06,1,1953,390,0.199693
06,2,1967,424,0.215557
06,3,1947,379,0.194658
06,4,1945,285,0.14653
06,5,1938,357,0.184211
06,6,1951,357,0.182983
06,7,1952,304,0.155738
06,8,1931,337,0.174521
06,9,1911,369,0.193093
06,10,1934,352,0.182006
06,11,1925,353,0.183377
06,12,1918,336,0.175182
07,1,1900,370,0.194737
07,2,1907,362,0.189827
07,3,1899,353,0.185887
07,4,1893,356,0.188061
07,5,1897,335,0.176595
07,6,1890,284,0.150265
07,7,1889,200,0.105876
07,8,1873,259,0.138281
07,9,1871,330,0.176376
07,10,1884,281,0.149151
07,11,1886,258,0.136797
07,12,1886,296,0.156946
08,1,1968,372,0.189024
08,2,1987,407,0.204831
08,3,1981,387,0.195356
08,4,1961,350,0.17848
08,5,1970,350,0.177665
08,6,1963,317,0.161488
08,7,1950,308,0.157949
08,8,1953,310,0.15873
08,9,1934,325,0.168046
08,10,1942,302,0.15551
08,11,1936,305,0.157541
08,12,1931,267,0.13827
09,1,1846,196,0.106176
09,2,1834,351,0.191385
09,3,1834,362,0.197383
09,4,1832,392,0.213974
09,5,1842,250,0.135722
09,6,1833,299,0.163121
09,7,1823,291,0.159627
09,8,1816,267,0.147026
09,9,1790,287,0.160335
09,10,1813,284,0.156646
09,11,1801,265,0.14714
09,12,1802,224,0.124306
10,1,1871,261,0.139498
10,2,1859,316,0.169984
10,3,1853,291,0.157043
10,4,1840,329,0.178804
10,5,1827,296,0.162014
10,6,1822,344,0.188804
10,7,1811,365,0.201546
10,8,1810,358,0.19779
10,9,1818,349,0.191969
10,10,1822,349,0.191548
