item,band,range,n,out,rate,ciLow,ciHigh,residMeanPt,residCiLowPt,residCiHighPt,note
波高,0-1cm,0-1cm,21635,3688,17.05,16.55,17.55,-1.51,-2.0,-1.01,
波高,2-3cm,2-3cm,26570,5125,19.29,18.82,19.77,0.33,-0.14,0.81,
波高,4-5cm,4-5cm,9806,1980,20.19,19.41,21.0,1.6,0.8,2.39,
波高,6cm以上,6cm以上,2966,657,22.15,20.69,23.68,2.71,1.22,4.2,
気温,Q1,<=13,16441,3005,18.28,17.69,18.88,-0.59,-1.17,0.0,
気温,Q2,13<x<=21,14418,2658,18.44,17.81,19.08,-0.28,-0.92,0.35,
気温,Q3,21<x<=29,17480,3247,18.58,18.01,19.16,-0.34,-0.91,0.24,
気温,Q4,>29,12638,2540,20.1,19.41,20.81,1.55,0.86,2.25,
水温,Q1,<=13,16816,3074,18.28,17.7,18.87,-0.57,-1.15,0.01,
水温,Q2,13<x<=21,14415,2705,18.77,18.14,19.41,-0.18,-0.81,0.46,
水温,Q3,21<x<=28,17483,3352,19.17,18.6,19.76,0.12,-0.46,0.7,
水温,Q4,>28,12263,2319,18.91,18.23,19.61,0.82,0.13,1.51,
天候コード,1,晴,39733,7498,18.87,18.49,19.26,0.23,-0.15,0.62,
天候コード,2,曇,15725,2856,18.16,17.57,18.77,-0.99,-1.59,-0.39,
天候コード,3,雨,5280,1051,19.91,18.85,21.0,1.22,0.15,2.3,
天候コード,4,雪,239,45,,,,,,,n不足
全体,計,,60977,11450,18.78,18.47,19.09,0.0,-0.31,0.31,
