item,band,range,n,out,rate,ciLow,ciHigh,residMeanPt,residCiLowPt,residCiHighPt,note
風速,0-1m,0-1m,90970,14881,16.36,16.12,16.6,-1.94,-2.18,-1.7,
風速,2-3m,2-3m,211219,38887,18.41,18.25,18.58,-0.11,-0.27,0.05,
風速,4-5m,4-5m,103237,21079,20.42,20.17,20.67,1.8,1.55,2.04,
風速,6m以上,6m以上,36433,8032,22.05,21.62,22.47,2.47,2.04,2.89,
風速,無風,風向コード17,32267,5639,17.48,17.07,17.89,-2.36,-2.77,-1.95,
波高,0-1cm,0-1cm,167584,28239,16.85,16.67,17.03,-1.48,-1.65,-1.3,
波高,2-3cm,2-3cm,208805,40030,19.17,19.0,19.34,0.28,0.11,0.45,
波高,4-5cm,4-5cm,72410,14778,20.41,20.12,20.7,1.85,1.56,2.15,
波高,6cm以上,6cm以上,25327,5471,21.6,21.1,22.11,2.15,1.65,2.66,
気温,Q1,<=11,120142,22028,18.33,18.12,18.55,-0.34,-0.56,-0.12,
気温,Q2,11<x<=19,130826,23775,18.17,17.96,18.38,-0.54,-0.75,-0.33,
気温,Q3,19<x<=25.5,104721,19336,18.46,18.23,18.7,-0.2,-0.43,0.04,
気温,Q4,>25.5,118437,23379,19.74,19.51,19.97,1.11,0.89,1.34,
水温,Q1,<=12,136879,25209,18.42,18.21,18.62,-0.29,-0.49,-0.08,
水温,Q2,12<x<=18,103483,18981,18.34,18.11,18.58,-0.39,-0.63,-0.16,
水温,Q3,18<x<=25,126556,23573,18.63,18.41,18.84,-0.12,-0.34,0.09,
水温,Q4,>25,107208,20755,19.36,19.12,19.6,0.89,0.65,1.12,
天候コード,1,晴,292055,55057,18.85,18.71,18.99,0.22,0.08,0.36,
天候コード,2,曇,134274,24608,18.33,18.12,18.53,-0.48,-0.68,-0.27,
天候コード,3,雨,45863,8488,18.51,18.15,18.87,-0.03,-0.39,0.32,
天候コード,4,雪,1926,364,18.9,17.21,20.71,0.82,-0.92,2.56,
天候コード,5,,8,1,,,,,,,n不足
全体,計,,474126,88518,18.67,18.56,18.78,0.0,-0.11,0.11,
