section,name,value,se,n,note
a,風速,0.789698,,54354,"当てはめ値の隣接Pearson・(場,R)中心化"
b2,風速,0.001047,,60977,eq をその項目に回帰した R²
upper,風速,0.000827,,,a × b²
a,風向コード:角度,0.810253,,49453,"当てはめ値の隣接Pearson・(場,R)中心化"
b2,風向コード:角度,0.000181,,57275,eq をその項目に回帰した R²
upper,風向コード:角度,0.000147,,,a × b²
a,風向コード:水面成分,0.566634,,54354,"当てはめ値の隣接Pearson・(場,R)中心化"
b2,風向コード:水面成分,0.000107,,60977,eq をその項目に回帰した R²
upper,風向コード:水面成分,6.1e-05,,,a × b²
a,波高,0.833113,,54354,"当てはめ値の隣接Pearson・(場,R)中心化"
b2,波高,0.000976,,60977,eq をその項目に回帰した R²
upper,波高,0.000813,,,a × b²
a,気温,0.997733,,54354,"当てはめ値の隣接Pearson・(場,R)中心化"
b2,気温,7.7e-05,,60977,eq をその項目に回帰した R²
upper,気温,7.7e-05,,,a × b²
a,水温,0.999579,,54354,"当てはめ値の隣接Pearson・(場,R)中心化"
b2,水温,0.000119,,60977,eq をその項目に回帰した R²
upper,水温,0.000119,,,a × b²
a,天候コード,0.806437,,54354,"当てはめ値の隣接Pearson・(場,R)中心化"
b2,天候コード,4.5e-05,,60977,eq をその項目に回帰した R²
upper,天候コード,3.6e-05,,,a × b²
aRef,sin,0.822844,,49453,段階9 作業2 の a（項目そのもの）
aRef,cos,0.789098,,49453,段階9 作業2 の a（項目そのもの）
aRef,component,0.759228,,49453,段階9 作業2 の a（項目そのもの）
ref,referenceResidual_S3D1net,0.007496,,,段階8 S3-D1 の net
W7coef,intercept,-0.177801,0.022629,60977,係数
W7coef,speed,0.022929,0.00652,60977,係数
W7coef,追い風,0.02793,0.029903,60977,係数
W7coef,向かい風,0.068179,0.029851,60977,係数
W7coef,無風,0.086281,0.028551,60977,係数
W7coef,speed×追い風,-0.001851,0.008907,60977,係数
W7coef,speed×向かい風,-0.011338,0.008743,60977,係数
W7coef,sin,-0.022685,0.007798,60977,係数
W7coef,cos,0.017603,0.009082,60977,係数
W7coef,波高,0.011045,0.004387,60977,係数
W7coef,気温,-0.002954,0.00193,60977,係数
W7coef,水温,0.00525,0.00211,60977,係数
W7coef,天候2,-0.01324,0.013328,60977,係数
W7coef,天候3,0.007746,0.020987,60977,係数
W7coef,天候4,-0.025531,0.091893,60977,係数
W7coef,R2,0.001758,,60977,決定係数
W0,nPairs,54354,,,
W0,T3q,0.028841,,,
W0,nullMean,0.02136,,,
W0,nullSd,0.003758,,,
W0,p2_5,0.013929,,,
W0,p97_5,0.028881,,,
W0,net,0.007481,,,
W0,pTwoSided,0.053946,,,
W0,insideNull95,True,,,
W1,nPairs,54354,,,
W1,T3q,0.02773,,,
W1,nullMean,0.0207,,,
W1,nullSd,0.003766,,,
W1,p2_5,0.013281,,,
W1,p97_5,0.028251,,,
W1,net,0.00703,,,
W1,pTwoSided,0.065934,,,
W1,insideNull95,True,,,
W7,nPairs,54354,,,
W7,T3q,0.027312,,,
W7,nullMean,0.020301,,,
W7,nullSd,0.003768,,,
W7,p2_5,0.012825,,,
W7,p97_5,0.027762,,,
W7,net,0.007011,,,
W7,pTwoSided,0.06993,,,
W7,insideNull95,True,,,
