seriesLen,nSeries,meanMan,varMan,pHat,expVarBinom,overdispersionRatio
12,32801,2.054754,1.778343,0.17123,1.70292,1.044291
11,10359,1.939087,1.654235,0.176281,1.597263,1.035668
10,2174,1.770009,1.450992,0.177001,1.456716,0.99607
9,360,1.608333,1.275139,0.178704,1.320918,0.965343
8,86,1.360465,0.962654,0.170058,1.129107,0.85258
7,52,1.557692,1.349548,0.222527,1.211063,1.11435
6,77,1.480519,0.673958,0.246753,1.115196,0.60434
5,24,0.958333,0.824275,0.191667,0.774653,1.064058
4,14,0.785714,0.335165,0.196429,0.631378,0.530847
3,18,0.444444,0.496732,0.148148,0.378601,1.31202
2,15,0.4,0.4,0.2,0.32,1.25
1,15,0.133333,0.12381,0.133333,0.115556,1.071429
