section,type,k,n,observed,nullMean,nullSd,ratio,net,pTwoSided,note
streak,①着外,2,11450,1369,1351.604,28.990337,1.012871,,0.539461,
streak,①着外,3,11450,312,242.856,14.077835,1.284712,,0.001998,
streak,①着外,4,11450,94,46.01,6.289472,2.043034,,0.001998,
streak,①着外,5,11450,19,8.855,2.792091,2.14568,,0.003996,
streak,①着外,6,11450,5,1.767,1.316223,2.829655,,0.071928,
streak,①着外,7+,11450,0,0.468,0.638266,0.0,,1.0,
streak,決まり手:逃げ,2,32366,4153,4115.82,53.206922,1.009033,,0.485514,
streak,決まり手:逃げ,3,32366,1967,1959.077,39.798706,1.004044,,0.859141,
streak,決まり手:逃げ,4,32366,968,947.26,27.945937,1.021895,,0.461538,
streak,決まり手:逃げ,5,32366,455,468.839,20.342982,0.970482,,0.513487,
streak,決まり手:逃げ,6,32366,238,236.049,13.842768,1.008265,,0.957043,
streak,決まり手:逃げ,7+,32366,222,245.442,12.307401,0.904491,,0.063936,
streak,決まり手:差し,2,7291,681,639.764,20.330264,1.064455,,0.03996,
streak,決まり手:差し,3,7291,87,75.601,7.881238,1.150778,,0.157842,
streak,決まり手:差し,4,7291,8,9.356,2.912,0.855066,,0.821179,
streak,決まり手:差し,5,7291,2,1.262,1.089285,1.584786,,0.709291,
streak,決まり手:差し,6,7291,0,0.159,0.397337,0.0,,1.0,
streak,決まり手:差し,7+,7291,0,0.019,0.136593,0.0,,1.0,
streak,決まり手:まくり,2,9817,1109,1065.028,25.768338,1.041287,,0.07992,
streak,決まり手:まくり,3,9817,193,174.355,12.022958,1.106937,,0.131868,
streak,決まり手:まくり,4,9817,48,30.928,5.246364,1.551992,,0.005994,
streak,決まり手:まくり,5,9817,4,5.704,2.297316,0.701262,,0.635365,
streak,決まり手:まくり,6,9817,2,1.061,0.993109,1.885014,,0.599401,
streak,決まり手:まくり,7+,9817,0,0.266,0.501493,0.0,,1.0,
streak,決まり手:まくり差し,2,7515,715,674.893,21.744387,1.059427,,0.071928,
streak,決まり手:まくり差し,3,7515,92,78.125,7.734675,1.1776,,0.077922,
streak,決まり手:まくり差し,4,7515,15,9.04,2.882136,1.659292,,0.075924,
streak,決まり手:まくり差し,5,7515,2,0.997,0.979771,2.006018,,0.509491,
streak,決まり手:まくり差し,6,7515,0,0.09,0.293234,0.0,,1.0,
streak,決まり手:まくり差し,7+,7515,0,0.0,0.0,,,1.0,
streak,決まり手:抜き,2,3946,209,202.852,11.993496,1.030308,,0.641359,
streak,決まり手:抜き,3,3946,13,11.918,3.330821,1.090787,,0.785215,
streak,決まり手:抜き,4,3946,2,0.77,0.844875,2.597403,,0.36963,
streak,決まり手:抜き,5,3946,0,0.072,0.262459,0.0,,1.0,
streak,決まり手:抜き,6,3946,0,0.009,0.094488,0.0,,1.0,
streak,決まり手:抜き,7+,3946,0,0.0,0.0,,,1.0,
streak,決まり手:恵まれ,2,42,0,0.0,0.0,,,,n不足
streak,決まり手:恵まれ,3,42,0,0.0,0.0,,,,n不足
streak,決まり手:恵まれ,4,42,0,0.0,0.0,,,,n不足
streak,決まり手:恵まれ,5,42,0,0.0,0.0,,,,n不足
streak,決まり手:恵まれ,6,42,0,0.0,0.0,,,,n不足
streak,決まり手:恵まれ,7+,42,0,0.0,0.0,,,,n不足
streak,決まり手:同一カテゴリ計,2,60977,6867,6698.357,67.181194,1.025177,,0.011988,
streak,決まり手:同一カテゴリ計,3,60977,2352,2299.076,44.069313,1.02302,,0.243756,
streak,決まり手:同一カテゴリ計,4,60977,1041,997.354,28.757045,1.043762,,0.133866,
streak,決まり手:同一カテゴリ計,5,60977,463,476.874,20.608222,0.970906,,0.527473,
streak,決まり手:同一カテゴリ計,6,60977,240,237.368,13.915539,1.011088,,0.901099,
streak,決まり手:同一カテゴリ計,7+,60977,222,245.727,12.310891,0.903442,,0.05994,
matchRate,決まり手,,54354,0.355668,0.351444,0.001487,1.012019,,0.005994,
corr,K1,,54354,0.02826,0.020146,0.003676,,0.008113,0.033966,
corr,K3,,54354,0.023621,0.015446,0.003927,,0.008176,0.045954,
