d,nPairs,residCorr,nullA_center,nullA_sd,nullA_p2_5,nullA_p97_5,net,pTwoSided
1,475478,0.002972,0.002388,0.001349,-0.000181,0.005055,0.000584,0.683317
2,432032,0.002167,0.002443,0.001389,-0.000306,0.005153,-0.000276,0.837163
3,388690,0.001404,0.002452,0.001515,-0.000345,0.005463,-0.001048,0.493506
4,345587,0.005127,0.002481,0.001586,-0.00063,0.005492,0.002645,0.095904
5,302340,0.00399,0.002579,0.001675,-0.000853,0.005804,0.001411,0.393606
6,259014,0.000666,0.002575,0.001906,-0.001228,0.006231,-0.001909,0.311688
7,215745,0.001701,0.002495,0.002021,-0.001415,0.006455,-0.000795,0.697303
8,172607,-0.002316,0.002464,0.002304,-0.002155,0.007056,-0.00478,0.045954
9,129474,0.002224,0.002509,0.002681,-0.002662,0.007575,-0.000285,0.905095
10,86356,0.006425,0.002308,0.003366,-0.004281,0.009017,0.004117,0.225774
11,43126,0.005479,0.003011,0.004699,-0.006061,0.012582,0.002468,0.595405
