d,nPairs,residCorrQ,nullA_eq_center,nullA_eq_sd,nullA_eq_p2_5,nullA_eq_p97_5,net,pTwoSided
1,475478,0.028486,0.018992,0.001308,0.0165,0.021518,0.009494,0.001998
2,432032,0.022446,0.018972,0.001441,0.016005,0.021613,0.003474,0.00999
3,388690,0.016721,0.018987,0.001455,0.016147,0.021781,-0.002266,0.137862
4,345587,0.021312,0.019054,0.001597,0.015932,0.0222,0.002257,0.143856
5,302340,0.017772,0.019014,0.001718,0.015785,0.022529,-0.001243,0.471528
6,259014,0.013589,0.019078,0.001882,0.015323,0.022595,-0.00549,0.003996
7,215745,0.014625,0.018979,0.002073,0.014898,0.022857,-0.004354,0.041958
8,172607,0.009907,0.019116,0.002271,0.014449,0.023854,-0.009209,0.001998
9,129474,0.009768,0.019066,0.002634,0.014003,0.024046,-0.009298,0.003996
10,86356,0.019288,0.018967,0.003511,0.012092,0.0261,0.000321,0.877123
11,43126,0.011393,0.019216,0.00465,0.009997,0.02801,-0.007823,0.097902
