rank,date,jcd,venue,seriesLen,maxRunH,maxRunL,s,p,windMean,windRange,windN
1,20220215,18,徳山,12,2,2,23.227658,0.000999,,,
2,20211119,02,戸田,12,3,2,23.227154,0.000999,,,
3,20170416,08,常滑,12,1,2,21.473377,0.000999,,,
4,20210328,16,児島,12,1,4,20.87461,0.000999,,,
5,20260505,12,住之江,12,1,5,20.589079,0.000999,1.83,4,12
6,20251130,01,桐生,12,1,6,20.378632,0.000999,0.83,2,12
7,20200712,10,三国,12,0,3,19.306346,0.000999,,,
8,20210905,02,戸田,12,3,2,19.05909,0.000999,,,
9,20190502,03,江戸川,12,2,2,18.013147,0.000999,,,
10,20260219,16,児島,12,2,1,17.973539,0.000999,3.0,4,12
11,20200315,06,浜名湖,11,4,2,17.907351,0.000999,,,
12,20251005,07,蒲郡,10,1,2,17.289814,0.000999,1.42,2,12
13,20190818,15,丸亀,11,1,2,16.721039,0.000999,,,
14,20191226,04,平和島,12,1,1,16.382949,0.000999,,,
15,20230508,06,浜名湖,12,2,2,16.002651,0.000999,,,
16,20240502,17,宮島,11,2,3,15.871025,0.000999,,,
17,20160927,12,住之江,12,1,1,15.215463,0.000999,,,
18,20191215,23,唐津,12,2,2,14.726637,0.000999,,,
19,20190629,20,若松,12,2,2,14.589825,0.000999,,,
20,20250529,17,宮島,10,2,2,14.512681,0.000999,,,
21,20250915,02,戸田,12,1,1,14.224947,0.000999,2.08,3,12
22,20260324,05,多摩川,12,0,4,14.114861,0.000999,2.17,4,12
23,20250831,16,児島,12,2,1,14.092765,0.000999,2.67,3,12
24,20210727,11,びわこ,12,2,2,14.023608,0.000999,,,
25,20190417,05,多摩川,11,3,1,13.815303,0.000999,,,
26,20230625,03,江戸川,12,3,0,13.711402,0.000999,,,
27,20180520,04,平和島,12,3,2,13.424108,0.000999,,,
28,20221029,16,児島,11,0,3,13.224808,0.000999,,,
29,20230224,07,蒲郡,12,1,2,13.007225,0.000999,,,
30,20241215,17,宮島,11,1,3,12.672646,0.000999,,,
31,20171224,08,常滑,12,0,2,12.597231,0.000999,,,
32,20230927,03,江戸川,10,0,2,12.340857,0.000999,,,
33,20200810,06,浜名湖,10,1,2,11.880942,0.000999,,,
34,20240901,01,桐生,12,1,1,11.669077,0.000999,,,
35,20190712,02,戸田,12,1,1,11.490994,0.000999,,,
36,20221115,08,常滑,12,0,4,11.480103,0.000999,,,
37,20211018,15,丸亀,12,1,3,11.4288,0.000999,,,
38,20170516,10,三国,12,0,1,11.289957,0.000999,,,
39,20240517,13,尼崎,12,1,2,11.035807,0.000999,,,
40,20231203,02,戸田,12,1,1,10.909602,0.000999,,,
41,20161107,04,平和島,12,2,0,10.238606,0.000999,,,
42,20201114,11,びわこ,11,2,1,9.866284,0.000999,,,
43,20181229,03,江戸川,11,2,0,9.706629,0.000999,,,
44,20170802,09,津,11,1,1,9.241477,0.000999,,,
45,20211109,16,児島,12,1,1,9.045948,0.000999,,,
46,20230803,05,多摩川,12,1,2,8.702353,0.000999,,,
47,20220129,02,戸田,11,1,0,8.663002,0.000999,,,
48,20220820,14,鳴門,11,2,0,7.566657,0.000999,,,
49,20251026,12,住之江,12,6,0,24.907839,0.001998,0.08,1,12
50,20230722,05,多摩川,12,2,1,22.379375,0.001998,,,
