fromQ,toQ,n,rowPct
1,1,23349,24.866609
1,2,18489,19.690725
1,3,17527,18.666198
1,4,16966,18.068735
1,5,17566,18.707733
2,1,19255,20.617398
2,2,18952,20.292959
2,3,18388,19.689053
2,4,18286,19.579836
2,5,18511,19.820756
3,1,18259,19.05393
3,2,18948,19.772926
3,3,19517,20.366699
3,4,19511,20.360437
3,5,19593,20.446007
4,1,17262,17.880856
4,2,19099,19.783714
4,3,20104,20.824744
4,4,20229,20.954226
4,5,19845,20.556459
5,1,17032,17.774624
5,2,18616,19.427689
5,3,20066,20.940911
5,4,20385,21.27382
5,5,19723,20.582956
