set,fromQ,toQ,n,rowPct
S0,1,1,23349,24.866609
S0,1,2,18489,19.690725
S0,1,3,17527,18.666198
S0,1,4,16966,18.068735
S0,1,5,17566,18.707733
S0,2,1,19255,20.617398
S0,2,2,18952,20.292959
S0,2,3,18388,19.689053
S0,2,4,18286,19.579836
S0,2,5,18511,19.820756
S0,3,1,18259,19.05393
S0,3,2,18948,19.772926
S0,3,3,19517,20.366699
S0,3,4,19511,20.360437
S0,3,5,19593,20.446007
S0,4,1,17262,17.880856
S0,4,2,19099,19.783714
S0,4,3,20104,20.824744
S0,4,4,20229,20.954226
S0,4,5,19845,20.556459
S0,5,1,17032,17.774624
S0,5,2,18616,19.427689
S0,5,3,20066,20.940911
S0,5,4,20385,21.27382
S0,5,5,19723,20.582956
S3,1,1,8383,21.546251
S3,1,2,7526,19.343563
S3,1,3,7624,19.595446
S3,1,4,7786,20.011823
S3,1,5,7588,19.502917
S3,2,1,7630,17.82627
S3,2,2,8452,19.746741
S3,2,3,8968,20.952292
S3,2,4,9072,21.195271
S3,2,5,8680,20.279426
S3,3,1,7783,16.720734
S3,3,2,9064,19.472791
S3,3,3,9939,21.352611
S3,3,4,10133,21.769394
S3,3,5,9628,20.684469
S3,4,1,7498,15.768333
S3,4,2,9122,19.183613
S3,4,3,10470,22.018464
S3,4,4,10613,22.319194
S3,4,5,9848,20.710395
S3,5,1,6886,15.180776
S3,5,2,8607,18.974868
S3,5,3,9911,21.849647
S3,5,4,10367,22.854938
S3,5,5,9589,21.139771
