type,k,observed,nullMean,nullSd,p2_5,p97_5,ratio,pTwoSided
H,2,10394,10218.689,82.690302,10055.875,10380.025,1.017156,0.023976
H,3,1685,1606.518,37.301086,1530.975,1677.05,1.048852,0.035964
H,4,237,257.742,15.107935,229.0,288.025,0.919524,0.183816
H,5,41,41.224,6.159689,29.0,53.0,0.994566,0.991009
H,6,5,6.617,2.408758,2.0,12.0,0.755629,0.663337
H,7+,2,1.35,1.128172,0.0,4.0,1.481481,0.801199
L,2,13635,13420.785,93.766534,13224.975,13608.025,1.015961,0.031968
L,3,3129,2819.813,47.486872,2725.0,2906.0,1.109648,0.001998
L,4,762,630.9,23.079789,588.0,679.025,1.207798,0.001998
L,5,204,148.854,11.523518,127.0,172.0,1.37047,0.001998
L,6,47,35.914,5.74017,25.0,48.0,1.308682,0.077922
L,7+,19,12.196,3.067735,7.0,19.0,1.557888,0.053946
