jcd,venue,nSeries,nPairs,pairsPerRequired,underpowered,T3q,nullA_eq_mean,nullA_eq_sd,net,pTwoSided,nQ1,L2_obs,L2_nullMean,L2_ratio,L2_p,L3_obs,L3_nullMean,L3_ratio,L3_p,L4_obs,L4_nullMean,L4_ratio,L4_p,L5_obs,L5_nullMean,L5_ratio,L5_p,note
01,桐生,1940,20088,0.361946,True,0.028214,0.021106,0.006491,0.007107,0.251748,3961,495,448.825,1.10288,0.00999,110,77.838,1.413192,0.001998,24,14.841,1.617142,0.017982,13,2.903,4.478126,0.001998,
02,戸田,1931,19987,0.360126,True,0.015834,0.008607,0.006615,0.007227,0.285714,2202,169,168.962,1.000225,1.0,26,17.656,1.472587,0.051948,2,2.452,0.815661,1.0,0,0.434,0.0,1.0,
03,江戸川,1805,17715,0.319189,True,0.03436,0.030201,0.006548,0.004159,0.525475,2054,199,168.587,1.180399,0.015984,19,20.219,0.93971,0.887113,5,2.957,1.690903,0.375624,0,0.394,0.0,1.0,
04,平和島,1824,18762,0.338054,True,0.020445,0.020224,0.006604,0.000221,0.965035,2250,171,185.524,0.921714,0.201798,29,22.374,1.296147,0.157842,3,3.197,0.93838,1.0,2,0.622,3.215434,0.247752,
05,多摩川,1882,19593,0.353027,True,0.016762,0.013487,0.006256,0.003275,0.647353,3747,424,416.546,1.017895,0.675325,73,70.968,1.028633,0.847153,16,12.359,1.294603,0.311688,4,2.394,1.670844,0.43956,
06,浜名湖,2011,20649,0.372054,True,0.028063,0.019948,0.006233,0.008115,0.185814,3959,445,445.259,0.999418,1.0,75,72.924,1.028468,0.795205,13,12.051,1.078749,0.853147,2,2.021,0.989609,1.0,
07,蒲郡,1947,20185,0.363694,True,0.019023,0.013275,0.006497,0.005748,0.367632,4608,596,563.512,1.057653,0.083916,138,109.108,1.264802,0.003996,33,21.496,1.535169,0.015984,8,4.584,1.745201,0.163836,
08,常滑,2018,20917,0.376883,True,0.034336,0.025742,0.005934,0.008594,0.133866,4954,652,622.41,1.047541,0.157842,127,129.474,0.980892,0.851149,37,29.316,1.262109,0.17982,9,7.063,1.274246,0.551449,
09,津,1891,19400,0.34955,True,0.03253,0.023446,0.006448,0.009084,0.173826,5106,657,662.302,0.991995,0.803197,143,149.822,0.954466,0.563437,29,36.515,0.794194,0.223776,9,9.443,0.953087,1.0,
10,三国,1899,19532,0.351928,True,0.031164,0.019052,0.006256,0.012112,0.051948,4796,651,608.414,1.069995,0.027972,162,126.476,1.280875,0.005994,30,27.168,1.10424,0.607393,5,5.664,0.882768,0.987013,
11,びわこ,1852,19324,0.34818,True,0.037355,0.02549,0.006414,0.011865,0.06993,4065,488,482.508,1.011382,0.763237,87,90.703,0.959174,0.719281,20,17.814,1.122712,0.661339,2,3.9,0.512821,0.485514,
12,住之江,1909,19866,0.357946,True,0.031776,0.022035,0.00639,0.009741,0.137862,4952,631,638.479,0.988286,0.743257,152,134.96,1.12626,0.127872,47,30.102,1.561358,0.005994,10,7.437,1.344628,0.455544,
