unit,jcd,venue,speedBand,component,n_all,out_all,rate_all,ciLow_all,ciHigh_all,note_all,n_in1,out_in1,rate_in1,ciLow_in1,ciHigh_in1,note_in1,diffPt_in1MinusAll
Z1,全場,全場,0-1,追い風,2870,460,16.03,14.73,17.42,,2831,439,15.51,14.22,16.89,,-0.52
Z1,全場,全場,0-1,横風,6597,1175,17.81,16.91,18.75,,6521,1129,17.31,16.41,18.25,,-0.5
Z1,全場,全場,0-1,向かい風,2751,474,17.23,15.86,18.69,,2729,458,16.78,15.43,18.23,,-0.45
Z1,全場,全場,2-3,追い風,6613,1310,19.81,18.87,20.79,,6514,1254,19.25,18.31,20.23,,-0.56
Z1,全場,全場,2-3,横風,15589,2895,18.57,17.97,19.19,,15398,2788,18.11,17.51,18.72,,-0.46
Z1,全場,全場,2-3,向かい風,7370,1413,19.17,18.29,20.09,,7266,1347,18.54,17.66,19.45,,-0.63
Z1,全場,全場,4-5,追い風,3018,623,20.64,19.24,22.12,,2982,604,20.25,18.85,21.74,,-0.39
Z1,全場,全場,4-5,横風,7192,1454,20.22,19.3,21.16,,7103,1398,19.68,18.77,20.62,,-0.54
Z1,全場,全場,4-5,向かい風,3833,760,19.83,18.6,21.12,,3773,715,18.95,17.73,20.23,,-0.88
Z1,全場,全場,6+,追い風,1124,282,25.09,22.64,27.71,,1102,270,24.5,22.05,27.13,,-0.59
Z1,全場,全場,6+,横風,2359,568,24.08,22.4,25.84,,2324,544,23.41,21.73,25.17,,-0.67
Z1,全場,全場,6+,向かい風,1165,240,20.6,18.38,23.02,,1153,235,20.38,18.16,22.8,,-0.22
Z1,全場,全場,無風,無風,3988,785,19.68,18.48,20.95,,3940,756,19.19,17.99,20.45,,-0.49
Z1,全場,全場,0-1,計,12218,2109,17.26,16.6,17.94,,12081,2026,16.77,16.11,17.45,,-0.49
Z1,全場,全場,2-3,計,29572,5618,19.0,18.55,19.45,,29178,5389,18.47,18.03,18.92,,-0.53
