table,key,label,n_all,value_all,ciLow_all,ciHigh_all,n_in1,value_in1,ciLow_in1,ciHigh_in1
bandResidual,0-1,0-1,12218,-1.85,-2.52,-1.19,12081,-1.83,-2.49,-1.17
bandResidual,2-3,2-3,29572,-0.09,-0.53,0.36,29178,-0.08,-0.52,0.37
bandResidual,4-5,4-5,14043,1.05,0.39,1.71,13858,1.0,0.34,1.66
bandResidual,6+,6+,4648,3.31,2.09,4.53,4579,3.3,2.09,4.52
bandResidual,無風,無風,3988,-1.22,-2.45,0.0,3940,-1.18,-2.4,0.04
venueNoWind,01,桐生,2803,9.78,8.73,10.93,2714,9.73,8.67,10.9
venueNoWind,02,戸田,2578,27.15,25.47,28.9,2546,27.1,25.41,28.86
venueNoWind,03,江戸川,2400,0.17,0.06,0.43,2390,0.17,0.07,0.43
venueNoWind,04,平和島,2390,5.69,4.83,6.69,2369,5.66,4.8,6.66
venueNoWind,05,多摩川,2707,8.31,7.33,9.41,2690,8.25,7.27,9.35
venueNoWind,06,浜名湖,2937,2.93,2.38,3.6,2870,2.93,2.37,3.61
venueNoWind,07,蒲郡,2661,3.46,2.83,4.22,2586,3.48,2.84,4.26
venueNoWind,08,常滑,2922,0.44,0.26,0.76,2867,0.45,0.27,0.77
venueNoWind,09,津,2695,7.01,6.11,8.04,2678,7.02,6.11,8.05
venueNoWind,10,三国,2651,2.3,1.8,2.94,2610,2.3,1.79,2.95
venueNoWind,11,びわこ,2657,9.37,8.32,10.54,2646,9.37,8.32,10.54
venueNoWind,12,住之江,2747,35.82,34.05,37.63,2722,35.89,34.11,37.71
venueNoWind,13,尼崎,2461,8.94,7.88,10.13,2447,8.99,7.92,10.19
venueNoWind,14,鳴門,2515,3.9,3.21,4.73,2489,3.9,3.21,4.73
venueNoWind,15,丸亀,2736,0.73,0.47,1.13,2709,0.7,0.45,1.09
venueNoWind,16,児島,2614,1.19,0.84,1.68,2594,1.2,0.84,1.69
venueNoWind,17,宮島,2884,9.64,8.62,10.77,2858,9.69,8.66,10.83
venueNoWind,18,徳山,2832,0.0,0.0,0.14,2800,0.0,0.0,0.14
venueNoWind,19,下関,2600,0.0,0.0,0.15,2549,0.0,0.0,0.15
venueNoWind,20,若松,2719,2.94,2.37,3.65,2681,2.95,2.37,3.66
venueNoWind,21,芦屋,2811,5.05,4.3,5.92,2783,4.99,4.25,5.87
venueNoWind,22,福岡,2795,0.0,0.0,0.14,2775,0.0,0.0,0.14
venueNoWind,23,唐津,2465,1.66,1.23,2.25,2391,1.67,1.23,2.27
venueNoWind,24,大村,2889,2.25,1.77,2.86,2872,2.23,1.75,2.84
