section,name,value,se,n,note
a,speed,0.789698,,54354,"隣接Pearson・(場,R)中心化"
a,sin,0.822844,,49453,"隣接Pearson・(場,R)中心化"
a,cos,0.789098,,49453,"隣接Pearson・(場,R)中心化"
a,component,0.759228,,49453,"隣接Pearson・(場,R)中心化"
b1,intercept,-0.098761,0.010633,60977,係数
b1,speed,0.0259,0.003239,60977,係数
b1,R2,0.001047,,60977,決定係数
b2,intercept,-0.037913,0.008071,60977,係数
b2,追い風,0.01762,0.014755,60977,係数
b2,向かい風,0.033405,0.014161,60977,係数
b2,無風,-0.008123,0.024359,60977,係数
b2,R2,0.000107,,60977,決定係数
b3,intercept,-0.136804,0.016405,60977,係数
b3,追い風,0.034306,0.029842,60977,係数
b3,向かい風,0.067667,0.029744,60977,係数
b3,無風,0.090769,0.028226,60977,係数
b3,speed,0.033752,0.004875,60977,係数
b3,speed×追い風,-0.00572,0.008849,60977,係数
b3,speed×向かい風,-0.012496,0.008702,60977,係数
b3,R2,0.001271,,60977,決定係数
mediation,b_b3_corr,0.03565,,,√R²(b3)
mediation,upper_speed,0.001004,,,a(風速)×b²
mediation,upper_component,0.000965,,,a(水面成分)×b²
mediation,referenceResidual_S3D1net,0.007496,,,段階8 S3-D1 の net
