section,metric,compareWith,reference,windowB,change
作業1,races,分母A(10年),534330,474126,
作業1,series,分母A(10年),45995,40840,
作業1,adjacentPairs,分母A(10年),475478,421699,
作業1,breaks,分母A(10年),12857,11587,
作業1,manRate,分母A(10年),0.172691,0.171727,
作業1,quintileBound1,分母A(10年),1070,1060,
作業1,quintileBound2,分母A(10年),1910,1890,
作業1,quintileBound3,分母A(10年),3640,3610,
作業1,quintileBound4,分母A(10年),8540,8480,
2-1,T1_raw,分母A(10年),0.005471,0.005622,
2-1,T2_venueCentered,分母A(10年),0.003993,0.004096,
2-1,T3_cellCentered,分母A(10年),0.002972,0.00305,
2-1,T4_net,分母A(10年),0.000584,0.000427,
2-1,venueDiff_T1minusT2,分母A(10年),0.001478,0.001526,
2-1,rShape_T2minusT3,分母A(10年),0.001021,0.001046,
2-1,dayCommon_T3minusT4,分母A(10年),0.002388,0.002623,
2-1,nullA_mean,分母A(10年),0.002388,0.002623,
2-1,nullA_p,分母A(10年),0.683317,0.739261,
2-1,nullB_mean,分母A(10年),-4.8e-05,-5.1e-05,
2-2,T1q_raw,分母A(10年),0.05149,0.053068,
2-2,T2q_venue,分母A(10年),0.039888,0.041337,
2-2,T3q_cell,分母A(10年),0.028486,0.028915,
2-2,T4q_net,分母A(10年),0.009494,0.010423,
2-2,venueDiff_T1qminusT2q,分母A(10年),0.011601,0.011732,
2-2,rShape_T2qminusT3q,分母A(10年),0.011402,0.012421,
2-2,dayCommon_T3qminusT4q,分母A(10年),0.018992,0.018492,
2-2,nullA_eq_mean,分母A(10年),0.018992,0.018492,
2-2,nullA_eq_p,分母A(10年),0.001998,0.001998,
2-2,nullB_q_mean,分母A(10年),-2.7e-05,-2.7e-05,
2-3,S3-D1 nPairs,分母A(10年),221157,196264,
2-3,S3-D1 T3q,分母A(10年),-0.153276,-0.153263,
2-3,S3-D1 net,分母A(10年),0.007496,0.007653,
2-3,S3-D1 p,分母A(10年),0.001998,0.001998,
2-4,万舟 k=2 observed,分母A(10年),10394,9123,
2-4,万舟 k=2 nullMean,分母A(10年),10218.689,8999.021,
2-4,万舟 k=2 ratio,分母A(10年),1.017156,1.013777,
2-4,万舟 k=2 p,分母A(10年),0.023976,0.113886,有意性(p<0.05)が変わった
2-4,万舟 k=3 observed,分母A(10年),1685,1482,
2-4,万舟 k=3 nullMean,分母A(10年),1606.518,1406.744,
2-4,万舟 k=3 ratio,分母A(10年),1.048852,1.053497,
2-4,万舟 k=3 p,分母A(10年),0.035964,0.02997,
2-4,万舟 k=4 observed,分母A(10年),237,203,
2-4,万舟 k=4 nullMean,分母A(10年),257.742,222.742,
2-4,万舟 k=4 ratio,分母A(10年),0.919524,0.911368,
2-4,万舟 k=4 p,分母A(10年),0.183816,0.181818,
2-4,万舟 k=5 observed,分母A(10年),41,39,
2-4,万舟 k=5 nullMean,分母A(10年),41.224,35.2,
2-4,万舟 k=5 ratio,分母A(10年),0.994566,1.107955,1との大小が変わった
2-4,万舟 k=5 p,分母A(10年),0.991009,0.561439,
2-4,万舟 k=6 observed,分母A(10年),5,3,
2-4,万舟 k=6 nullMean,分母A(10年),6.617,5.468,
2-4,万舟 k=6 ratio,分母A(10年),0.755629,0.548647,
2-4,万舟 k=6 p,分母A(10年),0.663337,0.403596,
2-4,最安 k=2 observed,分母A(10年),13635,12171,
2-4,最安 k=2 nullMean,分母A(10年),13420.785,11926.757,
2-4,最安 k=2 ratio,分母A(10年),1.015961,1.020479,
2-4,最安 k=2 p,分母A(10年),0.031968,0.00999,
2-4,最安 k=3 observed,分母A(10年),3129,2805,
2-4,最安 k=3 nullMean,分母A(10年),2819.813,2500.508,
2-4,最安 k=3 ratio,分母A(10年),1.109648,1.121772,
2-4,最安 k=3 p,分母A(10年),0.001998,0.001998,
2-4,最安 k=4 observed,分母A(10年),762,681,
2-4,最安 k=4 nullMean,分母A(10年),630.9,555.898,
2-4,最安 k=4 ratio,分母A(10年),1.207798,1.225045,
2-4,最安 k=4 p,分母A(10年),0.001998,0.001998,
2-4,最安 k=5 observed,分母A(10年),204,185,
2-4,最安 k=5 nullMean,分母A(10年),148.854,129.983,
2-4,最安 k=5 ratio,分母A(10年),1.37047,1.423263,
2-4,最安 k=5 p,分母A(10年),0.001998,0.001998,
2-4,最安 k=6 observed,分母A(10年),47,40,
2-4,最安 k=6 nullMean,分母A(10年),35.914,31.368,
2-4,最安 k=6 ratio,分母A(10年),1.308682,1.275185,
2-4,最安 k=6 p,分母A(10年),0.077922,0.143856,
2-5,nBelow05,分母A(10年),2505,2236,
2-5,shareBelow05,分母A(10年),0.054462,0.05475,
2-6,lowestToLowest rowPct,分母A(10年),24.866609,25.055526,
2-6,lowestToLowest n,分母A(10年),23349,20870,
2-6,lowestToLowest rowTotal,分母A(10年),93897,83295,
2-6,middleToMiddle rowPct,分母A(10年),20.366699,20.367285,
2-6,middleToMiddle n,分母A(10年),19517,17357,
2-6,middleToMiddle rowTotal,分母A(10年),95828,85220,
2-6,highestToHighest rowPct,分母A(10年),20.582956,20.639173,
2-6,highestToHighest n,分母A(10年),19723,17566,
2-6,highestToHighest rowTotal,分母A(10年),95822,85110,
作業3,①着外 k=2 observed,分母B(409日),1369,11067,
作業3,①着外 k=2 nullMean,分母B(409日),1351.604,10438.134,
作業3,①着外 k=2 ratio,分母B(409日),1.012871,1.060247,
作業3,①着外 k=2 p,分母B(409日),0.539461,0.001998,有意性(p<0.05)が変わった
作業3,①着外 k=3 observed,分母B(409日),312,2461,
作業3,①着外 k=3 nullMean,分母B(409日),242.856,1895.92,
作業3,①着外 k=3 ratio,分母B(409日),1.284712,1.298051,
作業3,①着外 k=3 p,分母B(409日),0.001998,0.001998,
作業3,①着外 k=4 observed,分母B(409日),94,640,
作業3,①着外 k=4 nullMean,分母B(409日),46.01,355.175,
作業3,①着外 k=4 ratio,分母B(409日),2.043034,1.801929,
作業3,①着外 k=4 p,分母B(409日),0.001998,0.001998,
作業3,①着外 k=5 observed,分母B(409日),19,137,
作業3,①着外 k=5 nullMean,分母B(409日),8.855,67.268,
作業3,①着外 k=5 ratio,分母B(409日),2.14568,2.03663,
作業3,①着外 k=5 p,分母B(409日),0.003996,0.001998,
作業3,①着外 k=6 observed,分母B(409日),5,26,
作業3,①着外 k=6 nullMean,分母B(409日),1.767,13.193,
作業3,①着外 k=6 ratio,分母B(409日),2.829655,1.970742,
作業3,①着外 k=6 p,分母B(409日),0.071928,0.001998,有意性(p<0.05)が変わった
作業3,決まり手:逃げ k=2 observed,分母B(409日),4153,32315,
作業3,決まり手:逃げ k=2 nullMean,分母B(409日),4115.82,32002.54,
