axis,level,nNear,shareNear,nFar,shareFar,diffNearMinusFar
級別,A1,110740,0.234218,518556,0.254044,-0.019826
級別,A2,106661,0.225591,514564,0.252088,-0.026498
級別,B1,214697,0.454089,909751,0.445693,0.008396
級別,B2,40710,0.086103,98335,0.048175,0.037928
進入コース,1コース,75086,0.158809,336770,0.164986,-0.006177
進入コース,2コース,78251,0.165503,343638,0.16835,-0.002848
進入コース,3コース,78153,0.165295,343207,0.168139,-0.002844
進入コース,4コース,78237,0.165473,343247,0.168159,-0.002686
進入コース,5コース,79541,0.168231,342983,0.16803,0.000201
進入コース,6コース,83510,0.176626,331273,0.162293,0.014333
進入コース,不明,30,6.3e-05,88,4.3e-05,2e-05
場,01 桐生,35342,0.074749,73278,0.035899,0.03885
場,02 戸田,29328,0.062029,74589,0.036542,0.025488
場,03 江戸川,17273,0.036533,70464,0.034521,0.002012
場,04 平和島,20649,0.043673,69999,0.034293,0.00938
場,05 多摩川,22882,0.048396,74600,0.036547,0.011849
場,06 浜名湖,22148,0.046844,87825,0.043026,0.003818
場,07 蒲郡,15853,0.033529,88746,0.043477,-0.009948
場,08 常滑,15277,0.032311,92156,0.045148,-0.012837
場,09 津,24167,0.051114,87002,0.042623,0.008491
場,10 三国,23546,0.0498,89498,0.043846,0.005955
場,11 びわこ,23578,0.049868,87216,0.042728,0.00714
場,12 住之江,14572,0.03082,88214,0.043217,-0.012396
場,13 尼崎,18835,0.039836,88292,0.043255,-0.003418
場,14 鳴門,8907,0.018839,98826,0.048415,-0.029577
場,15 丸亀,5714,0.012085,104482,0.051186,-0.039101
場,16 児島,15997,0.033834,91388,0.044772,-0.010938
場,17 宮島,18467,0.039058,92796,0.045461,-0.006403
場,18 徳山,19473,0.041186,96480,0.047266,-0.00608
場,19 下関,17952,0.037969,87716,0.042973,-0.005004
場,20 若松,13050,0.027601,81142,0.039752,-0.012151
場,21 芦屋,13429,0.028403,80260,0.03932,-0.010917
場,22 福岡,12378,0.02618,75090,0.036787,-0.010607
場,23 唐津,31147,0.065877,79060,0.038732,0.027145
場,24 大村,32844,0.069466,82087,0.040215,0.029251
年齢帯,〜29,100520,0.212602,412505,0.202089,0.010513
年齢帯,30〜39,156728,0.331483,719065,0.352275,-0.020791
年齢帯,40〜49,138863,0.293698,603950,0.295879,-0.002181
年齢帯,50〜,76697,0.162216,305686,0.149758,0.012458
出走数帯,Q1（〜134）,51315,0.108532,190354,0.093256,0.015277
出走数帯,Q2（〜195.5）,112496,0.237932,469345,0.229935,0.007997
出走数帯,Q3（〜239）,145432,0.307592,621074,0.304268,0.003324
出走数帯,Q4（239超）,163565,0.345944,760433,0.372541,-0.026597
