toban,stint,branch,firstDate,lastDate,nNear,nFar,winsNear,winsFar,top3Near,top3Far,eligible,winDiff,winDiffCourseAdj,top3Diff,top3DiffCourseAdj,meanFinishDiff,meanFinishDiffCourseAdj
2014,0,静岡,2016-11-08,2025-02-27,238,931,19,87,91,418,1,-0.013616,0.000373,-0.066627,-0.048458,0.199153,0.117290
2380,0,岡山,2016-11-01,2017-01-28,6,42,0,2,1,13,0,,,,,,
2505,0,長崎,2016-11-05,2016-11-08,0,0,0,0,0,0,0,,,,,,
2538,0,東京,2016-11-08,2026-08-02,231,1027,13,39,80,312,1,0.018302,0.008984,0.042523,0.028121,-0.172359,-0.114166
2568,0,長崎,2016-11-18,2018-04-02,33,159,1,4,6,38,1,0.005146,-0.015168,-0.057176,-0.065552,0.210406,0.263114
2596,0,群馬,2016-11-03,2017-07-31,35,66,2,2,12,16,1,0.026840,0.018807,0.100433,0.085122,-0.382251,-0.326100
2698,0,香川,2016-11-12,2018-08-15,17,246,1,13,7,93,0,,,,,,
2776,0,大阪,2016-11-12,2016-12-31,17,9,0,0,5,1,0,,,,,,
2785,0,兵庫,2016-11-03,2019-01-30,69,236,7,20,19,67,1,0.016704,0.022930,-0.008536,0.004928,-0.161938,-0.210337
2787,0,群馬,2016-11-12,2021-03-16,208,513,31,63,102,233,1,0.026231,0.016671,0.036194,0.023615,-0.141710,-0.091493
2816,0,福岡,2016-11-07,2018-09-28,41,266,3,26,16,131,1,-0.024574,0.019845,-0.102237,-0.051170,0.244728,0.033595
2841,0,群馬,2016-11-10,2022-03-01,218,619,13,53,95,289,1,-0.025989,-0.033576,-0.031102,-0.041011,0.132776,0.172069
2842,0,大阪,2016-11-07,2017-10-19,22,139,0,11,7,43,1,-0.079137,-0.084293,0.008829,-0.006933,0.207652,0.267280
2844,0,広島,2016-11-03,2022-08-03,170,566,12,45,75,212,1,-0.008917,-0.001324,0.066618,0.069263,-0.188215,-0.203774
2876,0,愛知,2016-11-03,2023-01-30,195,898,43,232,100,495,1,-0.037839,-0.065260,-0.038404,-0.052980,0.173325,0.249111
2878,0,大阪,2016-11-01,2026-07-27,310,1870,50,266,171,1059,1,0.019044,0.019733,-0.014697,-0.012300,-0.013162,-0.023643
2883,0,東京,2016-11-12,2019-06-18,18,276,0,14,2,66,0,,,,,,
2887,0,香川,2016-11-01,2017-01-22,7,35,0,3,2,14,0,,,,,,
2903,0,福岡,2016-11-06,2023-10-29,123,660,14,50,56,302,1,0.038064,0.016645,-0.002291,-0.016496,0.039283,0.106882
2907,0,香川,2016-11-08,2020-06-12,0,605,0,17,0,179,0,,,,,,
2910,0,岡山,2016-11-06,2018-04-03,58,193,6,12,19,62,1,0.041272,0.046531,0.006343,-0.001905,-0.190013,-0.165701
2912,0,長崎,2016-11-01,2022-09-28,353,632,31,67,115,234,1,-0.018194,-0.017930,-0.044474,-0.047068,0.132226,0.141369
2914,0,徳島,2016-11-03,2017-01-29,0,60,0,9,0,27,0,,,,,,
