layer,key,nTotal,nHome,nNon,homeShare,p0NonHomeWin,requiredN,sufficiency,note
全体,全体,3223681,709667,2514014,0.220142,0.163002,16178,199.2707,
場,01 桐生,135198,26578,108620,0.196586,0.164528,17694,7.6413,
場,02 戸田,135528,31611,103917,0.233243,0.162967,15535,8.7241,
場,03 江戸川,124193,36456,87737,0.293543,0.16505,13558,9.1603,
場,04 平和島,127424,36776,90648,0.288611,0.168895,13930,9.1475,
場,05 多摩川,132882,35400,97482,0.266402,0.168688,14610,9.0959,
場,06 浜名湖,141135,31162,109973,0.220796,0.160658,15967,8.8393,
場,07 蒲郡,136557,31958,104599,0.234027,0.160709,15336,8.9044,
場,08 常滑,141385,33952,107433,0.240139,0.162166,15174,9.3181,
場,09 津,131888,20719,111169,0.157095,0.159154,20544,6.4198,
場,10 三国,133170,20126,113044,0.15113,0.163989,21690,6.1398,
場,11 びわこ,129831,19037,110794,0.146629,0.160198,21841,5.9446,
場,12 住之江,133921,31135,102786,0.232488,0.160246,15372,8.7121,
場,13 尼崎,131091,23964,107127,0.182804,0.16023,18324,7.1543,
場,14 鳴門,128528,20795,107733,0.161794,0.160666,20209,6.3601,
場,15 丸亀,136887,26691,110196,0.194986,0.163717,17736,7.7184,
場,16 児島,136852,29467,107385,0.21532,0.161661,16333,8.3793,
場,17 宮島,139117,27854,111263,0.20022,0.163037,17334,8.026,
場,18 徳山,138585,22632,115953,0.163308,0.164644,20436,6.7814,
場,19 下関,128944,23276,105668,0.180512,0.165159,18934,6.8103,
場,20 若松,136121,41929,94192,0.308027,0.163422,13100,10.3911,
場,21 芦屋,136833,43144,93689,0.315304,0.166252,13106,10.4412,
場,22 福岡,133319,45851,87468,0.343919,0.163203,12379,10.7699,
場,23 唐津,135496,25289,110207,0.18664,0.161759,18166,7.4591,
場,24 大村,138796,23865,114931,0.171943,0.163307,19498,7.1187,
支部,群馬,145566,26578,118988,0.182584,0.152478,17655,8.2452,
支部,埼玉,196934,31611,165323,0.160516,0.157455,20026,9.8342,
