course,rank,nHome,nNon,nTotal,winHome,winHomeLo,winHomeHi,winNon,winNonLo,winNonHi,winDiff,top3Home,top3HomeLo,top3HomeHi,top3Non,top3NonLo,top3NonHi,top3Diff,meanFinishHome,meanFinishHomeLo,meanFinishHomeHi,meanFinishNon,meanFinishNonLo,meanFinishNonHi,meanFinishDiff,note
1,A1,41931,137871,179802,0.718991,0.714668,0.723273,0.697543,0.695113,0.699962,0.021448,0.909923,0.907146,0.912626,0.89871,0.897106,0.900291,0.011213,1.600606,1.589056,1.612155,1.659849,1.653193,1.666505,-0.059243,
1,A2,31970,117097,149067,0.603097,0.597722,0.608447,0.582056,0.579228,0.584878,0.021041,0.86528,0.861493,0.868979,0.853199,0.85116,0.855214,0.012081,1.865217,1.850195,1.88024,1.926599,1.918538,1.934661,-0.061382,
1,B1,48584,148596,197180,0.436296,0.431891,0.440711,0.373684,0.371228,0.376147,0.062612,0.743516,0.739614,0.74738,0.693902,0.691553,0.69624,0.049614,2.427733,2.413029,2.442438,2.654849,2.646091,2.663608,-0.227116,
1,B2,3929,8292,12221,0.338509,0.323876,0.353456,0.314641,0.304733,0.32472,0.023868,0.63324,0.618048,0.648172,0.577545,0.566879,0.588138,0.055695,2.911428,2.854262,2.968594,3.117342,3.076467,3.158217,-0.205914,
2,A1,30650,108882,139532,0.234715,0.230003,0.239492,0.208574,0.206171,0.210998,0.026141,0.712822,0.707731,0.71786,0.690601,0.687849,0.69334,0.022221,2.75429,2.737079,2.771502,2.85668,2.84746,2.865899,-0.10239,
2,A2,26739,104356,131095,0.174015,0.169518,0.178606,0.162722,0.160495,0.164974,0.011293,0.652867,0.647139,0.65855,0.640826,0.63791,0.643731,0.012041,2.99828,2.979866,3.016694,3.054046,3.044663,3.063429,-0.055766,
2,B1,54284,196933,251217,0.098998,0.096514,0.101539,0.09422,0.092938,0.095518,0.004778,0.510592,0.506387,0.514797,0.490654,0.488446,0.492862,0.019938,3.525293,3.512047,3.538539,3.592557,3.585575,3.599539,-0.067264,
2,B2,4708,11718,16426,0.090059,0.082213,0.098574,0.080304,0.07552,0.085363,0.009755,0.425021,0.410967,0.439198,0.393156,0.384348,0.402033,0.031865,3.833475,3.786737,3.880213,3.957587,3.928044,3.987129,-0.124112,
3,A1,29937,105765,135702,0.212279,0.207684,0.216948,0.188824,0.186477,0.191194,0.023455,0.689114,0.683847,0.694332,0.6621,0.659244,0.664945,0.027014,2.872298,2.854915,2.889682,2.97918,2.969883,2.988477,-0.106882,
3,A2,27069,106146,133215,0.154014,0.149763,0.158363,0.142464,0.140374,0.14458,0.01155,0.61539,0.609579,0.621169,0.5999,0.596949,0.602844,0.01549,3.143079,3.124801,3.161357,3.206565,3.197327,3.215802,-0.063486,
