toban,stint,branch,firstDate,lastDate,nHome,nNon,winsHome,winsNon,top3Home,top3Non,eligible,winDiff,winDiffCourseAdj,top3Diff,top3DiffCourseAdj,meanFinishDiff,meanFinishDiffCourseAdj
2014,0,静岡,2016-11-08,2025-02-27,448,1169,48,106,185,509,1,0.016467,0.004729,-0.022468,-0.028419,0.109763,0.141636
2380,0,岡山,2016-11-01,2017-01-28,0,48,0,2,0,14,0,,,,,,
2505,0,長崎,2016-11-05,2016-11-08,6,0,1,0,3,0,0,,,,,,
2538,0,東京,2016-11-08,2026-08-02,534,1258,35,52,210,392,1,0.024208,-0.006233,0.081653,0.049573,-0.215981,-0.079782
2568,0,長崎,2016-11-18,2018-04-02,62,192,7,5,25,44,1,0.086862,0.048421,0.174059,0.133160,-0.744624,-0.569086
2596,0,群馬,2016-11-03,2017-07-31,29,101,3,4,13,28,1,0.063844,0.016747,0.171048,0.133827,-0.479344,-0.312341
2698,0,香川,2016-11-12,2018-08-15,79,263,5,14,31,100,1,0.010059,-0.002686,0.012177,0.009597,0.002599,0.025179
2776,0,大阪,2016-11-12,2016-12-31,6,26,0,0,2,6,0,,,,,,
2785,0,兵庫,2016-11-03,2019-01-30,68,305,14,27,28,86,1,0.117358,0.078716,0.129797,0.087325,-0.667502,-0.487758
2787,0,群馬,2016-11-12,2021-03-16,171,721,29,94,90,335,1,0.039216,0.016899,0.061683,0.037866,-0.230074,-0.130363
2816,0,福岡,2016-11-07,2018-09-28,82,307,9,29,35,147,1,0.015294,0.017221,-0.051998,-0.054709,0.175459,0.182121
2841,0,群馬,2016-11-10,2022-03-01,186,837,9,66,94,384,1,-0.030466,-0.052277,0.046595,0.028493,-0.157109,-0.075870
2842,0,大阪,2016-11-07,2017-10-19,6,161,0,11,0,50,0,,,,,,
2844,0,広島,2016-11-03,2022-08-03,277,736,35,57,104,287,1,0.048908,0.034978,-0.014494,-0.020276,-0.072433,-0.038851
2876,0,愛知,2016-11-03,2023-01-30,318,1093,66,275,169,595,1,-0.044054,-0.086676,-0.012927,-0.039033,0.054739,0.183462
2878,0,大阪,2016-11-01,2026-07-27,283,2180,55,316,176,1230,1,0.049392,0.034369,0.057688,0.038029,-0.175795,-0.095488
2883,0,東京,2016-11-12,2019-06-18,132,294,10,14,51,68,1,0.028139,0.015816,0.155071,0.147605,-0.544836,-0.510406
2887,0,香川,2016-11-01,2017-01-22,10,42,0,3,6,16,0,,,,,,
2903,0,福岡,2016-11-06,2023-10-29,460,783,37,64,217,358,1,-0.001302,0.004000,0.014523,0.017999,-0.055117,-0.070939
2907,0,香川,2016-11-08,2020-06-12,0,605,0,17,0,179,0,,,,,,
2910,0,岡山,2016-11-06,2018-04-03,48,251,8,18,17,81,1,0.094954,0.091015,0.031458,0.024804,-0.246680,-0.217554
2912,0,長崎,2016-11-01,2022-09-28,213,985,30,98,88,349,1,0.041353,0.037585,0.058831,0.059445,-0.225738,-0.229459
2914,0,徳島,2016-11-03,2017-01-29,10,60,4,9,5,27,0,,,,,,
2930,0,山口,2016-11-18,2024-04-25,405,691,74,110,213,351,1,0.023526,0.016462,0.017966,0.006474,-0.111697,-0.067525
2935,0,広島,2016-11-05,2021-04-28,147,603,12,31,50,186,1,0.030223,0.013111,0.031678,0.017675,-0.083393,-0.016294
2941,0,群馬,2016-11-06,2020-02-06,101,405,5,13,50,130,1,0.017406,0.001645,0.174062,0.149862,-0.487006,-0.390628
2942,0,徳島,2016-11-12,2020-02-13,185,584,50,112,115,298,1,0.078489,0.053591,0.111348,0.082126,-0.323093,-0.200328
2958,0,長崎,2016-11-01,2021-10-31,140,687,11,51,49,233,1,0.004336,0.001068,0.010844,0.005230,-0.124537,-0.100824
2969,0,群馬,2016-11-01,2018-10-09,64,161,7,8,22,41,1,0.059686,0.035597,0.089092,0.057506,-0.315606,-0.183710
2974,0,福岡,2016-11-01,2017-07-03,16,57,3,4,4,11,0,,,,,,
2983,0,愛知,2016-11-03,2020-10-29,138,281,9,11,42,85,1,0.026071,0.023327,0.001857,0.007718,-0.055470,-0.071710
2992,0,山口,2016-11-03,2020-09-28,287,534,87,114,204,314,1,0.089653,0.057343,0.122786,0.084832,-0.455219,-0.298195
2994,0,東京,2016-11-05,2017-04-20,29,30,0,0,5,2,1,0.000000,-0.049836,0.105747,0.032980,-0.575862,-0.287696
2995,0,東京,2016-11-03,2018-03-13,18,153,2,7,5,43,0,,,,,,
3005,0,岡山,2016-11-03,2018-02-14,48,184,2,8,11,58,1,-0.001812,-0.019813,-0.086051,-0.095064,0.069746,0.118138
3006,0,大阪,2016-11-07,2020-11-16,24,665,5,54,12,206,1,0.127130,0.089731,0.190226,0.131644,-0.792356,-0.562689
3010,0,愛知,2016-11-29,2017-11-09,80,200,27,56,53,139,1,0.057500,0.083775,-0.032500,-0.017452,0.007500,-0.068458
3020,0,東京,2016-11-01,2022-03-14,244,646,21,66,100,246,1,-0.016102,-0.022801,0.029031,0.034757,-0.024692,-0.035733
3022,0,愛知,2016-11-03,2023-12-25,311,1504,68,353,204,980,1,-0.016058,-0.021627,0.004353,-0.005156,0.046401,0.083927
3024,0,広島,2016-11-09,2026-04-26,408,2275,131,678,263,1580,1,0.023056,0.006853,-0.049898,-0.063302,0.156385,0.216638
3025,0,長崎,2016-11-03,2022-11-03,181,783,20,43,67,288,1,0.055580,0.042756,0.002350,-0.014262,-0.247758,-0.181329
3036,0,山口,2016-11-03,2022-11-04,272,792,29,72,112,292,1,0.015709,0.011404,0.043078,0.030192,-0.135398,-0.087757
3044,0,福井,2018-03-08,2024-03-13,0,1097,0,83,0,441,0,,,,,,
3051,0,佐賀,2016-11-01,2022-12-24,92,751,7,60,30,276,1,-0.003807,0.003241,-0.041423,-0.032454,0.179022,0.144688
3052,0,徳島,2016-11-01,2020-11-30,93,627,5,24,24,203,1,0.015486,-0.006723,-0.065699,-0.076997,0.164274,0.221876
