month,k_races,k_entries,k_parseFail,k_kimariteNot6,k_windMissing,k_c1Races,k_c1Win,k_c1UnknownRaces,k_c1StMissing,k_winRaceTimeMissing,k_nige,k_sashi,k_makuri,k_makurizashi,k_nuki,k_megumare,k_c1WinRateRaw,r_races,r_airMissing,r_waterMissing
201611,4262,25572,25559,0,0,4262,2235,0,0,0,2097,674,624,481,355,31,52.44,0,0,0
201612,4829,28974,28967,0,0,4829,2479,0,0,0,2336,803,722,529,409,30,51.34,0,0,0
201701,4752,28512,28492,0,0,4752,2363,0,0,0,2222,759,744,594,395,38,49.73,0,0,0
201702,4010,24060,24058,0,0,4010,2050,0,0,0,1936,570,649,488,330,37,51.12,0,0,0
201703,4623,27738,27715,0,0,4623,2404,0,0,0,2250,682,718,554,380,39,52.0,0,0,0
201704,4506,27036,27007,1,0,4506,2326,0,0,1,2206,692,676,552,345,34,51.62,0,0,0
201705,4930,29580,29560,0,0,4930,2595,0,0,0,2455,723,728,609,366,49,52.64,0,0,0
201706,4339,26034,26024,0,0,4339,2274,0,0,0,2143,634,605,555,359,43,52.41,0,0,0
201707,4848,29088,29064,1,0,4848,2503,0,0,1,2362,693,742,602,405,43,51.63,0,0,0
201708,4782,28692,28684,0,0,4782,2416,0,0,0,2270,646,756,642,424,44,50.52,0,0,0
201709,4020,24120,24107,0,0,4020,2099,0,0,0,1982,544,642,503,306,43,52.21,0,0,0
201710,4420,26520,26518,0,0,4420,2326,0,0,0,2185,701,641,476,386,31,52.62,0,0,0
201711,4272,25632,25616,1,0,4272,2278,0,0,1,2145,586,653,507,344,36,53.32,0,0,0
201712,5034,30204,30195,0,0,5034,2719,0,0,0,2556,751,729,562,395,41,54.01,0,0,0
201801,4971,29826,29810,1,0,4971,2642,0,0,1,2489,729,738,567,405,42,53.15,0,0,0
201802,3876,23256,23226,2,0,3876,2092,0,0,2,1978,521,551,483,301,40,53.97,0,0,0
201803,4724,28344,28330,0,0,4724,2583,0,0,0,2419,694,668,525,389,29,54.68,0,0,0
201804,4467,26802,26793,0,0,4467,2434,0,0,0,2310,637,670,481,326,43,54.49,0,0,0
201805,4893,29358,29357,0,0,4893,2676,0,0,0,2522,675,714,548,392,42,54.69,0,0,0
201806,4521,27126,27114,0,0,4521,2433,0,0,0,2277,664,671,498,378,33,53.82,0,0,0
201807,4595,27570,27551,0,0,4595,2431,0,0,0,2275,628,725,527,404,36,52.91,0,0,0
201808,4675,28050,28028,0,0,4675,2427,0,0,0,2265,634,733,604,388,51,51.91,0,0,0
201809,3834,23004,22997,0,0,3834,1973,0,0,0,1854,530,625,474,314,37,51.46,0,0,0
201810,4451,26706,26685,1,0,4451,2355,0,0,1,2228,633,670,532,355,32,52.91,0,0,0
201811,4464,26784,26774,0,0,4464,2537,0,0,0,2401,599,589,499,342,34,56.83,0,0,0
201812,5040,30240,30239,0,0,5040,2735,0,0,0,2599,716,729,572,379,45,54.27,0,0,0
201901,5082,30492,30484,3,0,5082,2790,0,0,3,2657,691,778,572,344,37,54.9,0,0,0
201902,3996,23976,23970,0,0,3996,2241,0,0,0,2145,578,518,461,274,20,56.08,0,0,0
201903,4780,28680,28672,0,0,4780,2647,0,0,0,2508,684,691,512,346,39,55.38,0,0,0
201904,4443,26658,26653,0,0,4443,2401,0,0,0,2282,651,642,510,324,34,54.04,0,0,0
201905,4800,28800,28777,1,0,4800,2647,0,0,1,2516,617,693,570,370,33,55.15,0,0,0
201906,4200,25200,25173,2,0,4200,2308,0,0,2,2182,586,607,494,301,28,54.95,0,0,0
201907,4627,27762,27747,1,0,4627,2482,0,0,1,2350,683,637,588,335,33,53.64,0,0,0
