順位,登録番号,選手名,級別,モーター番号,モーター2連対率,場コード,場名,開催日
23,4551,三川　　昂暁,A2,11,31.3,01,桐生,20260727
31,4073,大橋　純一郎,A1,13,26.6,01,桐生,20260727
39,4318,桑原　　将光,A2,16,23.3,01,桐生,20260727
22,4643,近江　　翔吾,A2,17,31.7,01,桐生,20260727
36,5378,鈴木　結平太,B2,19,24.5,01,桐生,20260727
32,4724,吉田　　祐貴,B1,22,26.4,01,桐生,20260727
38,4632,長尾　京志郎,B1,23,23.4,01,桐生,20260727
7,3797,岩井　　　繁,B1,24,37.1,01,桐生,20260727
37,4241,大串　　重幸,A2,25,24.0,01,桐生,20260727
25,4601,森野　　正弘,A1,26,30.5,01,桐生,20260727
29,3908,重成　　一人,A1,29,28.3,01,桐生,20260727
5,3977,山本　　兼士,B1,31,38.5,01,桐生,20260727
8,4397,西村　　拓也,A1,33,36.9,01,桐生,20260727
6,4203,小倉　　康典,B1,34,38.4,01,桐生,20260727
20,5375,庄島　　潤成,B1,36,31.8,01,桐生,20260727
17,4588,田中　　京介,A2,37,32.0,01,桐生,20260727
12,4952,吉武　　真也,B1,40,34.3,01,桐生,20260727
14,5312,川辺　　郭人,B1,41,33.5,01,桐生,20260727
34,5351,齊藤　　　廉,B1,42,26.1,01,桐生,20260727
35,4449,中嶋　　達也,B1,43,25.9,01,桐生,20260727
29,3717,立間　　充宏,A2,44,28.3,01,桐生,20260727
4,3642,大塚　　浩二,B1,46,39.1,01,桐生,20260727
27,5411,木下　虎之輔,B2,47,29.6,01,桐生,20260727
19,3381,滝沢　　芳行,B1,48,31.9,01,桐生,20260727
11,4743,木村　　仁紀,A1,49,35.2,01,桐生,20260727
17,4410,井上　　大輔,B1,50,32.0,01,桐生,20260727
27,4864,小川　日紀太,B1,51,29.6,01,桐生,20260727
33,4948,木場　　悠介,B1,52,26.2,01,桐生,20260727
13,4649,和田　　操拓,B1,53,34.2,01,桐生,20260727
43,4458,抹香　　雄三,B1,54,21.2,01,桐生,20260727
40,4452,松尾　　　祭,A2,55,22.6,01,桐生,20260727
14,4106,坂井　　康嗣,B1,57,33.5,01,桐生,20260727
44,3664,鈴木　　賢一,B1,58,20.9,01,桐生,20260727
