hd,rno,combo,payout
20250715,1,4-3-1,6730
20250715,2,1-3-5,3460
20250715,3,2-6-4,14760
20250715,4,3-5-6,35310
20250715,5,2-1-4,700
20250715,6,1-3-2,1470
20250715,7,5-1-6,1780
20250715,8,1-5-2,3690
20250715,9,1-5-3,4130
20250715,10,6-1-5,20410
20250715,11,4-1-5,4190
20250715,12,1-4-3,510
20250716,1,1-4-3,2400
20250716,2,4-3-5,7490
20250716,3,6-2-1,6080
20250716,4,1-5-2,2800
20250716,5,1-2-4,420
20250716,6,4-5-6,3980
20250716,7,1-5-2,2400
20250716,8,3-1-5,3460
20250716,9,1-5-2,3570
20250716,10,1-2-6,1520
20250716,11,1-2-3,610
20250716,12,1-3-5,900
20250717,1,2-1-4,6560
20250717,2,1-3-2,570
20250717,3,1-2-4,3450
20250717,4,3-2-5,17170
20250717,5,4-5-1,2550
20250717,6,2-4-1,1180
20250717,7,1-6-2,11250
20250717,8,1-2-3,760
20250717,9,1-2-3,900
20250717,10,1-2-3,1360
20250717,11,4-2-1,49800
20250717,12,1-2-3,600
20250722,1,1-2-3,730
20250722,2,4-3-5,3920
20250722,3,4-5-6,1120
20250722,4,2-3-6,2350
20250722,5,1-3-2,1640
20250722,6,1-5-4,11640
20250722,7,1-5-2,2710
20250722,8,3-1-2,3220
20250722,9,2-1-5,4530
20250722,10,5-1-3,13340
20250722,11,4-1-5,8770
20250722,12,1-3-4,1250
20250723,1,4-2-6,8920
20250723,2,6-5-1,9090
20250723,3,1-2-6,1730
20250723,4,6-4-2,8450
20250723,5,4-1-6,12900
20250723,6,1-6-4,5310
20250723,7,3-1-4,5350
20250723,8,1-3-2,410
20250723,9,3-6-2,8940
20250723,10,3-1-2,6240
20250723,11,3-5-1,16350
20250723,12,1-4-5,2900
20250724,1,5-6-1,7860
20250724,2,5-4-3,2950
20250724,3,3-5-1,1970
20250724,4,5-4-1,3340
20250724,5,1-4-2,1060
20250724,6,1-2-4,6280
20250724,7,5-4-2,5720
20250724,8,1-2-3,310
20250724,9,3-2-1,70840
20250724,10,3-1-2,21240
20250724,11,1-4-2,1970
20250724,12,1-2-6,4400
20250725,1,1-4-3,1370
20250725,2,1-2-3,1420
20250725,3,3-2-4,5390
20250725,4,4-3-5,29980
20250725,5,1-2-3,450
20250725,6,4-3-5,6520
20250725,7,3-4-5,1310
20250725,8,3-2-1,2230
20250725,9,1-2-4,1390
20250725,10,2-4-3,96720
20250725,11,1-2-3,3070
20250725,12,1-3-5,4270
20250726,1,1-2-6,3300
20250726,2,2-4-1,10140
20250726,3,1-6-2,5460
20250726,4,2-6-1,8930
20250726,5,1-2-3,670
20250726,6,6-5-1,12340
20250728,1,4-5-1,3540
20250728,2,3-4-5,3430
20250728,3,5-4-6,2180
20250728,4,2-6-1,36510
20250728,5,1-2-4,710
20250728,6,1-4-3,1320
20250728,7,6-1-4,2110
20250728,8,3-2-6,18140
20250728,9,5-3-2,18270
20250728,10,3-4-2,14490
20250728,11,3-1-5,3310
20250728,12,1-4-2,1980
20250801,1,2-1-3,8180
20250801,2,6-5-1,35810
20250801,3,1-3-6,650
20250801,4,1-3-2,600
20250801,5,1-2-3,900
20250801,6,3-1-5,1630
20250801,7,1-2-3,560
20250801,8,1-2-3,760
20250801,9,6-1-5,6500
20250801,10,1-2-3,1480
20250801,11,1-6-5,8810
20250801,12,2-5-4,34000
20250802,1,6-2-1,17650
20250802,2,6-4-1,3090
20250802,3,3-2-1,12630
20250802,4,4-5-6,17800
20250802,5,2-3-4,4750
20250802,6,1-3-4,1180
20250802,7,1-5-2,2750
20250802,8,1-4-5,6910
20250802,9,4-1-5,19090
20250802,10,4-3-6,25800
20250802,11,1-6-4,2060
20250802,12,1-3-2,1750
20250803,1,3-1-5,4200
20250803,2,1-5-6,5340
20250803,3,2-6-3,4970
20250803,4,1-6-3,1280
20250803,5,1-2-3,900
20250803,6,1-2-6,1220
20250803,7,5-6-4,29840
20250803,8,1-5-4,3680
20250803,9,1-2-5,2050
20250803,10,1-2-4,860
20250803,11,1-3-2,1240
20250803,12,1-2-4,910
20250804,1,3-2-5,2640
20250804,2,3-1-5,1950
20250804,3,4-5-6,9730
20250804,4,1-3-2,9780
20250804,5,2-1-3,5150
20250804,6,2-4-6,35930
20250804,7,4-5-6,6940
20250804,8,6-3-1,11480
20250804,9,1-6-2,3110
20250804,10,5-3-6,18950
20250804,11,3-1-6,9780
20250804,12,2-3-4,9390
20250806,1,1-3-6,1670
20250806,2,1-3-4,1150
20250806,3,3-5-6,2720
20250806,4,6-1-2,1970
20250806,5,1-4-3,1840
20250806,6,4-5-1,11970
20250806,7,1-4-2,1430
20250806,8,1-2-3,640
20250806,9,1-3-5,2380
20250806,10,1-4-3,680
20250806,11,1-5-2,1760
20250806,12,1-5-3,5160
20250807,1,2-1-5,11790
20250807,2,6-1-4,12870
20250807,3,4-1-3,8730
20250807,4,1-5-2,3120
20250807,5,1-4-2,610
20250807,6,6-1-2,2500
20250807,7,1-4-5,5610
20250807,8,5-1-3,14810
20250807,9,5-1-3,12110
20250807,10,1-5-2,2470
20250807,11,4-2-3,18180
20250807,12,1-2-6,2250
20250808,1,1-3-5,2100
20250808,2,1-6-4,10550
20250808,3,3-6-4,1690
20250808,4,4-3-5,11640
20250808,5,1-2-4,370
20250808,6,2-6-1,3030
20250808,7,4-2-1,3870
20250808,8,4-1-3,23370
20250808,9,1-4-6,2900
20250808,10,2-5-6,9540
20250808,11,1-5-2,1250
20250808,12,3-1-5,6400
20250809,1,1-2-3,620
20250809,2,3-5-1,2060
20250809,3,4-3-6,27720
20250809,4,5-2-3,43960
20250809,5,1-5-6,13800
20250809,6,3-4-2,5410
20250809,7,3-2-1,19790
20250809,8,1-2-3,280
20250809,9,6-4-2,30030
20250809,10,1-3-2,2200
20250809,11,3-2-4,18170
20250809,12,2-1-6,9180
20250811,1,6-4-2,9180
20250811,2,1-4-5,3880
20250811,3,3-1-5,3100
20250811,4,2-4-1,3300
20250811,5,1-4-2,1140
20250811,6,2-6-1,15350
20250811,7,1-6-4,860
20250811,8,3-1-5,2530
20250811,9,1-2-3,670
20250811,10,1-2-4,720
20250811,11,1-3-2,690
20250811,12,6-3-2,17790
20250812,1,1-5-3,1460
20250812,2,4-5-1,17760
20250812,3,5-2-3,35480
20250812,4,2-1-4,1830
20250812,5,2-1-3,1410
20250812,6,5-2-3,22990
20250812,7,2-1-6,1270
20250812,8,1-3-5,1320
20250812,9,5-4-6,23610
20250812,10,1-3-4,1010
20250812,11,1-4-2,1170
20250812,12,1-4-2,1330
20250815,1,1-3-6,2340
20250815,2,1-4-5,2060
