登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率,イン進入数,さされ率,まくられ率,まくりさされ率
2538,2026-01-29,2026-07-30,222,6,4,2,0,0,0,0,0.0,33.3,-0.05,1.9,30,13.3,53.3,20.0
2878,2026-01-29,2026-07-30,226,30,18,2,4,6,0,0,13.3,6.7,0.11,0.9,48,20.8,20.8,12.5
3024,2026-01-29,2026-07-30,116,40,18,10,8,0,4,0,20.0,25.0,1.81,51.7,48,12.5,25.0,16.7
3054,2026-01-29,2026-07-30,200,40,14,4,16,2,4,0,40.0,10.0,0.02,0.0,32,6.2,31.2,12.5
3070,2026-01-29,2026-07-30,112,28,14,8,4,0,2,0,14.3,28.6,0.8,25.9,24,0.0,25.0,8.3
3072,2026-01-29,2026-07-30,182,24,16,6,2,0,0,0,8.3,25.0,1.55,47.3,38,26.3,15.8,15.8
3075,2026-01-29,2026-07-30,200,26,8,0,10,2,6,0,38.5,0.0,-0.03,1.0,30,26.7,40.0,0.0
3081,2026-01-29,2026-07-30,96,16,6,4,4,0,0,2,25.0,25.0,0.0,0.0,14,28.6,28.6,0.0
3105,2026-01-29,2026-07-30,186,30,14,6,8,2,0,0,26.7,20.0,-0.01,0.0,30,6.7,6.7,40.0
3107,2026-01-29,2026-07-30,120,4,2,0,2,0,0,0,50.0,0.0,-0.02,0.0,16,25.0,37.5,12.5
3156,2026-01-29,2026-07-30,204,12,6,2,2,2,0,0,16.7,16.7,0.41,13.7,38,31.6,26.3,10.5
3158,2026-01-29,2026-07-30,226,56,36,2,10,4,4,0,17.9,3.6,0.01,0.0,52,7.7,7.7,15.4
3159,2026-01-29,2026-07-30,128,46,26,12,8,0,0,0,17.4,26.1,1.36,37.5,44,13.6,9.1,9.1
3161,2026-01-29,2026-07-30,176,10,4,0,2,0,4,0,20.0,0.0,0.5,16.3,32,18.8,25.0,31.2
3175,2026-01-29,2026-07-30,176,8,2,0,2,4,0,0,25.0,0.0,-0.01,1.2,20,30.0,50.0,0.0
3176,2026-01-29,2026-07-30,36,4,4,0,0,0,0,0,0.0,0.0,0.06,0.0,8,25.0,25.0,0.0
3202,2026-01-29,2026-07-30,220,22,10,0,4,2,6,0,18.2,0.0,0.01,0.0,40,15.0,45.0,10.0
3207,2026-01-29,2026-07-30,180,4,2,0,0,2,0,0,0.0,0.0,-0.09,0.0,30,20.0,40.0,20.0
3211,2026-01-29,2026-07-30,180,12,8,2,2,0,0,0,16.7,16.7,-0.05,0.0,28,35.7,14.3,14.3
3212,2026-01-29,2026-07-30,192,20,12,2,4,2,0,0,20.0,10.0,0.36,12.0,34,23.5,17.6,17.6
3224,2026-01-29,2026-07-30,208,12,8,0,2,2,0,0,16.7,0.0,-0.03,0.0,28,0.0,64.3,0.0
3226,2026-01-29,2026-07-30,186,14,8,0,2,2,2,0,14.3,0.0,-0.01,0.0,32,43.8,6.2,12.5
3232,2026-01-29,2026-07-30,164,38,24,10,4,0,0,0,10.5,26.3,0.02,0.0,38,5.3,21.1,0.0
3233,2026-01-29,2026-07-30,194,26,6,4,14,0,2,0,53.8,15.4,0.0,0.0,28,14.3,35.7,21.4
3246,2026-01-29,2026-07-30,78,6,2,0,4,0,0,0,66.7,0.0,0.18,7.9,8,50.0,0.0,25.0
3251,2026-01-29,2026-07-30,296,50,22,16,0,6,6,0,0.0,32.0,0.06,0.0,56,17.9,21.4,10.7
3256,2026-01-29,2026-07-30,248,66,26,8,12,14,4,2,18.2,12.1,-0.02,0.0,48,33.3,4.2,4.2
3257,2026-01-29,2026-07-30,200,82,38,12,28,0,4,0,34.1,14.6,1.65,47.5,50,4.0,12.0,4.0
3265,2026-01-29,2026-07-30,198,48,26,10,6,0,4,2,12.5,20.8,1.61,45.8,70,11.4,31.4,14.3
3268,2026-01-29,2026-07-30,224,28,18,4,4,0,2,0,14.3,14.3,0.45,13.9,32,18.8,6.2,12.5
3277,2026-01-29,2026-07-30,210,18,12,2,4,0,0,0,22.2,11.1,0.09,3.0,32,18.8,31.2,12.5
3282,2026-01-29,2026-07-30,228,20,18,0,2,0,0,0,10.0,0.0,-0.06,0.0,38,5.3,10.5,36.8
3284,2026-01-29,2026-07-30,200,30,22,4,0,4,0,0,0.0,13.3,0.11,2.0,34,11.8,11.8,11.8
3286,2026-01-29,2026-07-30,144,12,8,2,2,0,0,0,16.7,16.7,0.0,0.0,22,9.1,27.3,18.2
3289,2026-01-29,2026-07-30,166,12,2,2,8,0,0,0,66.7,16.7,0.06,1.3,26,30.8,38.5,7.7
3293,2026-01-29,2026-07-30,178,0,0,0,0,0,0,0,,,-0.01,0.0,26,23.1,38.5,38.5
3294,2026-01-29,2026-07-30,160,8,4,0,4,0,0,0,50.0,0.0,-0.09,0.0,26,15.4,38.5,23.1
3297,2026-01-29,2026-07-30,208,20,10,6,2,2,0,0,10.0,30.0,0.84,22.7,40,20.0,25.0,15.0
3300,2026-01-29,2026-07-30,266,66,36,6,6,8,8,2,9.1,9.1,-0.02,0.0,56,7.1,21.4,0.0
3302,2026-01-29,2026-07-30,142,20,4,2,12,0,2,0,60.0,10.0,0.03,0.0,22,27.3,27.3,9.1
3303,2026-01-29,2026-07-30,250,24,18,2,0,2,0,2,0.0,8.3,-0.01,1.7,48,29.2,12.5,12.5
3304,2026-01-29,2026-07-30,286,54,34,4,6,6,4,0,11.1,7.4,0.01,0.0,58,6.9,20.7,6.9
3305,2026-01-29,2026-07-30,172,16,10,2,2,2,0,0,12.5,12.5,-0.03,0.0,30,20.0,13.3,33.3
3306,2026-01-29,2026-07-30,190,8,2,0,2,2,0,2,25.0,0.0,-0.02,0.0,30,13.3,33.3,6.7
3313,2026-01-29,2026-07-30,206,22,10,10,0,2,0,0,0.0,45.5,-0.05,0.0,30,20.0,40.0,6.7
3315,2026-01-29,2026-07-30,156,10,4,4,0,0,2,0,0.0,40.0,-0.08,0.0,22,0.0,81.8,0.0
3319,2026-01-29,2026-07-30,246,32,18,4,4,2,4,0,12.5,12.5,0.02,0.0,42,9.5,19.0,19.0
3327,2026-01-29,2026-07-30,254,52,28,8,8,6,2,0,15.4,15.4,0.37,11.9,48,12.5,4.2,20.8
3333,2026-01-29,2026-07-30,262,64,34,10,2,16,2,0,3.1,15.6,0.03,0.0,60,6.7,13.3,20.0
3334,2026-01-29,2026-07-30,304,46,36,0,2,6,0,2,4.3,0.0,0.07,0.7,74,16.2,16.2,10.8
3339,2026-01-29,2026-07-30,194,20,10,4,4,2,0,0,20.0,20.0,-0.07,0.0,32,18.8,18.8,18.8
3340,2026-01-29,2026-07-30,222,22,4,2,4,8,4,0,18.2,9.1,-0.05,0.9,32,43.8,18.8,0.0
3349,2026-01-29,2026-07-30,210,56,30,10,6,10,0,0,10.7,17.9,0.36,9.8,50,12.0,8.0,16.0
3350,2026-01-29,2026-07-30,230,34,24,4,4,0,2,0,11.8,11.8,0.01,0.9,40,10.0,10.0,10.0
3352,2026-01-29,2026-07-30,202,0,0,0,0,0,0,0,,,-0.36,0.0,0,,,
3353,2026-01-29,2026-07-30,148,10,2,0,2,6,0,0,20.0,0.0,-0.08,0.0,18,33.3,44.4,11.1
3355,2026-01-29,2026-07-30,86,0,0,0,0,0,0,0,,,0.02,0.0,12,50.0,33.3,16.7
3357,2026-01-29,2026-07-30,208,12,8,0,2,0,2,0,16.7,0.0,0.01,1.0,36,27.8,27.8,11.1
3361,2026-01-29,2026-07-30,174,18,6,4,2,2,4,0,11.1,22.2,-0.12,0.0,26,30.8,23.1,15.4
3362,2026-01-29,2026-07-30,216,28,14,2,10,0,2,0,35.7,7.1,1.14,36.3,38,15.8,26.3,21.1
3370,2026-01-29,2026-07-30,168,10,4,4,2,0,0,0,20.0,40.0,-0.01,0.0,24,33.3,41.7,8.3
3372,2026-01-29,2026-07-30,122,6,4,2,0,0,0,0,0.0,33.3,-0.03,0.0,14,42.9,28.6,0.0
3377,2026-01-29,2026-07-30,194,14,2,6,4,2,0,0,28.6,42.9,0.01,0.0,30,6.7,53.3,26.7
3381,2026-01-29,2026-07-30,216,36,14,0,20,2,0,0,55.6,0.0,0.08,1.9,34,17.6,5.9,23.5
3385,2026-01-29,2026-07-30,242,42,18,16,6,2,0,0,14.3,38.1,0.01,0.0,46,17.4,26.1,13.0
3388,2026-01-29,2026-07-30,180,40,22,2,12,2,2,0,30.0,5.0,0.04,2.2,38,5.3,10.5,21.1
3391,2026-01-29,2026-07-30,12,0,0,0,0,0,0,0,,,-0.33,0.0,2,0.0,100.0,0.0
3392,2026-01-29,2026-07-30,204,20,14,2,4,0,0,0,20.0,10.0,-0.03,0.0,36,5.6,27.8,11.1
3401,2026-01-29,2026-07-30,208,20,14,2,2,2,0,0,10.0,10.0,-0.07,0.0,24,8.3,25.0,8.3
3406,2026-01-29,2026-07-30,218,28,18,4,0,0,6,0,0.0,14.3,-0.03,0.0,38,10.5,15.8,10.5
