場名,場コード,開催日,レース,枠,登録番号,級別,氏名,F数,L数,平均ST,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,1日目成績,2日目成績,3日目成績,4日目成績,5日目成績,6日目成績,支部,出身,年齢,締切時刻,節名,企画名,日目
平和島,04,20260729,1R,1,5165,B1,小林　　愛実,0,0,0.16,3.76,16.85,29.21,5.25,25.00,60.00,11,44.83,58.62,75,31.82,40.91,7R/3/.13/3,3R/1/.04/2 11R/5/.14/5,4R/6/.17/5 12R/2/.06/3,4R/4/.11/1,,,岡山,岡山,26,11:54,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,1R,2,4853,B1,前原　　　哉,0,0,0.22,4.69,22.50,43.75,4.75,25.00,37.50,37,33.33,54.17,74,39.13,69.57,1R/5/.22/3 9R/1/.10/1,7R/6/.30/5,4R/4/.20/4 10R/2/.23/5,6R/3/.15/4,,,岡山,岡山,31,11:54,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,1R,3,4891,B1,寺島　　美里,0,0,0.16,5.00,26.92,42.31,4.17,20.69,31.03,67,22.73,45.45,63,39.13,39.13,6R/3/.18/5 11R/2/.04/1,6R/4/.09/4,5R/1/.16/2 12R/5/.07/6,8R/6/.14/3,,,東京,福島,36,11:54,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,1R,4,4443,B1,津田　　裕絵,0,0,0.19,5.61,37.98,56.59,4.71,28.57,57.14,21,29.17,70.83,69,41.67,54.17,5R/3/.13/5 10R/1/.21/2,10R/5/.22/4,1R/2/.11/2 8R/5/.19/6,2R/4/.20/2,,,山口,山口,39,11:54,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,1R,5,4225,A2,土屋　　千明,0,0,0.15,6.40,45.33,66.67,6.52,55.17,72.41,19,48.00,64.00,58,13.64,27.27,12R/5/.16/4,3R/2/.07/4 7R/3/.18/4,1R/6/.11/4 11R/4/.10/3,8R/1/.01/1,,,群馬,群馬,44,11:54,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,1R,6,5436,B2,市川　　瑚幸,0,0,0.22,1.28,0.00,0.00,1.27,0.00,0.00,15,39.13,56.52,40,19.05,42.86,4R/5/.24/6,1R/4/.15/3 9R/6/.14/6,6R/5/.10/6,5R/4/.16/5 9R/5/.19/5,,,東京,神奈川,21,11:54,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,2R,1,4689,B1,豊田　　　結,0,0,0.16,5.15,31.91,53.19,5.93,41.38,62.07,52,40.00,40.00,10,32.26,41.94,10R/2/.20/4,3R/3/.07/1 8R/5/.16/2,3R/1/.18/4 10R/4/.07/3,2R/6/.23/5 8R/2/.05/4,,,静岡,静岡,33,12:23,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,2R,2,5361,B1,植竹　　玲奈,0,0,0.23,2.53,2.94,11.76,1.96,1.96,3.92,54,27.27,36.36,49,13.64,27.27,6R/1/.29/3,3R/4/.07/6 10R/2/.15/2,8R/6/.24/4,4R/3/.24/2 8R/5/.11/5,,,東京,神奈川,19,12:23,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,2R,3,5241,B1,門田　　　栞,1,0,0.18,5.11,29.25,49.06,5.08,32.00,52.00,40,56.52,69.57,60,40.91,54.55,4R/4/.21/4 8R/6/.11/6,7R/1/.14/1,1R/3/.12/1 9R/2/.12/1,1R/5/.24/4 7R/3/.25/3,,,香川,愛媛,26,12:23,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
平和島,04,20260729,2R,4,5324,B1,畑田　　希咲,0,0,0.21,2.36,1.69,6.78,0.00,0.00,0.00,68,41.38,72.41,44,47.83,60.87,2R/6/.22/5,4R/5/.16/5 9R/3/.11/5,5R/4/.26/4,3R/1/.18/4 12R/2/.16/3,,,兵庫,兵庫,23,12:23,マクール杯 ヴィーナスシリーズ第９戦,一般,５日目
